"Station Name: Cedar City - Zion NP, Kolob Canyon"
"Station ID: 1262327"
"Link To Variable Descriptions: https://climate.usu.edu/mchd/dashboard/overview/UCRN.php"

"META DATA"
Name,Description,Units,Frequency
airt,"average air temperature from PRTs in Met One shield",fahrenheit,dly
airt_max,"maximum 5 minute air temperature from prts in Met One shield",fahrenheit,dly
airt_min,"minimum 5 minute air temperature from prts in Met One shield",fahrenheit,dly
eto,"daily short reference ET from Etsz function",inches,dly
etr,"daily tall reference ET from Etsz function",inches,dly
precip,"daily precipitation",inches,dly
rh_max,"maximum relative humidity from rh sensor in Met One shield",percent,dly
rh_min,"mininum relative humidity from rh sensor in Met One shield",percent,dly
sealevel_pressure,"sea level corrected pressure",inHG,dly
site_pressure,pressure,millibar,dly
solar,"total incoming (short wave) radiation from pyronometer","watts per meter squared",dly
td,"average dew point temperature from rh sensor in Met One shield",fahrenheit,dly
td_max,"maximum 5 minute dew point temperature from rh sensor in Met One shield",fahrenheit,dly
td_min,"minimum 5 minute dew point temperature from rh sensor in Met One shield",fahrenheit,dly
timestamp,"date and time",,dly
wetness,"percent of the day that wetness sensor detected precipitation",percent,dly
windd,"average wind direction",degrees,dly
winds,"average wind speed","miles per hour",dly
winds_max,"maximum wind gust","miles per hour",dly

date_time,station_id,td,td_min,td_max,airt,airt_min,airt_max,rh_max,rh_min,winds,winds_max,windd,precip,wetness,solar,eto,etr,site_pressure,sealevel_pressure
"2025-01-01 23:59:59",1262327,14.4,11.5,17.6,31.9,20.4,44.3,73,29,1.566,12.527,153,0.000,0,7.90,0.034,0.043,25.1,30.2
"2025-01-02 23:59:59",1262327,18.2,15.4,23.3,40.5,29.4,57.3,61,22,1.566,9.171,141,0.000,0,10.23,0.053,0.067,25.2,30.3
"2025-01-03 23:59:59",1262327,21.3,15.3,24.4,48.2,36.4,58.1,62,20,3.579,20.804,153,0.000,0,8.16,0.070,0.096,25.0,30.2
"2025-01-04 23:59:59",1262327,14.4,10.4,19.0,43.4,34.8,51.5,52,21,5.369,19.685,151,0.000,0,9.72,0.078,0.107,25.0,30.1
"2025-01-05 23:59:59",1262327,16.4,14.9,18.8,36.6,27.0,47.1,65,29,5.145,20.132,132,0.000,0,10.18,0.062,0.086,25.2,30.3
"2025-01-06 23:59:59",1262327,20.4,15.6,24.0,36.5,26.0,47.9,69,34,4.250,18.343,134,0.000,0,8.89,0.051,0.066,25.1,30.2
"2025-01-07 23:59:59",1262327,24.2,17.4,27.7,33.0,28.7,35.1,79,61,8.500,26.172,138,0.020,4,3.86,0.029,0.040,25.1,30.2
"2025-01-08 23:59:59",1262327,13.5,9.4,17.4,29.9,23.8,39.7,69,31,6.935,22.817,117,0.000,0,10.13,0.054,0.074,25.2,30.3
"2025-01-09 23:59:59",1262327,15.1,9.1,20.1,31.0,27.3,37.5,67,43,8.500,32.212,106,0.002,1,10.03,0.055,0.076,25.2,30.3
"2025-01-10 23:59:59",1262327,12.4,1.9,17.3,31.5,23.2,46.3,73,15,4.026,18.567,91,0.000,0,10.89,0.053,0.071,25.2,30.3
"2025-01-11 23:59:59",1262327,14.4,8.9,25.9,32.1,24.3,40.3,86,32,6.711,29.751,121,0.008,1,11.45,0.060,0.084,25.0,30.1
"2025-01-12 23:59:59",1262327,16.8,13.9,22.6,28.8,24.4,36.0,74,40,6.935,25.501,132,0.002,1,10.15,0.048,0.064,25.0,30.2
"2025-01-13 23:59:59",1262327,14.1,10.9,16.7,26.7,19.3,35.6,82,39,5.816,19.685,137,0.002,1,11.31,0.049,0.065,25.2,30.3
"2025-01-14 23:59:59",1262327,13.0,9.1,15.2,29.1,20.6,39.4,69,35,6.711,24.383,113,0.000,0,11.43,0.059,0.081,25.3,30.4
"2025-01-15 23:59:59",1262327,14.4,9.4,17.9,30.6,19.3,43.1,71,34,6.263,21.251,125,0.000,0,11.69,0.063,0.086,25.3,30.4
"2025-01-16 23:59:59",1262327,8.2,3.3,14.5,31.6,16.9,52.1,76,14,2.013,15.211,136,0.000,0,11.98,0.062,0.082,25.1,30.3
"2025-01-17 23:59:59",1262327,5.9,3.1,10.3,31.5,20.7,46.7,50,20,2.684,17.448,137,0.000,0,11.87,0.061,0.082,25.0,30.1
"2025-01-18 23:59:59",1262327,6.4,-3.1,17.5,28.7,23.3,35.4,59,19,7.829,26.843,104,0.000,0,12.10,0.066,0.092,25.1,30.3
"2025-01-19 23:59:59",1262327,-2.8,-5.5,1.5,25.9,10.2,41.3,51,16,2.908,17.672,128,0.000,0,12.25,0.059,0.076,25.1,30.2
