pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
 990.0,  153, 27.2, 25.3, 25.3, 89, 89,20.90, 20, 1.0
 984.0,  207, 26.9, 24.8, 24.8, 88, 88,20.39,  0, 3.1
 978.0,  261, 26.7, 24.3, 24.3, 87, 87,19.88, 45, 4.1
 964.0,  389, 26.1, 23.1, 23.1, 83, 83,18.72, 85, 7.2
 925.0,  756, 24.4, 19.6, 19.6, 75, 75,15.70,100, 6.2
 904.0,  957, 23.3, 18.7, 18.7, 76, 76,15.21,100, 5.2
 850.0, 1495, 20.2, 16.4, 16.4, 79, 79,13.94,110, 5.2
 832.0, 1679, 19.4, 14.6, 14.6, 74, 74,12.70,110, 6.2
 822.0, 1784, 18.9, 13.7, 13.7, 72, 72,12.04, 95, 4.1
 815.0, 1857, 18.5, 13.0, 13.0, 70, 70,11.60, 65, 3.1
 790.0, 2126, 17.3, 10.4, 10.4, 64, 64,10.08, 95, 3.1
 788.0, 2147, 17.2, 10.2, 10.2, 63, 63, 9.97, 96, 3.2
 733.0, 2762, 13.3,  9.6,  9.6, 78, 78,10.32,125, 5.2
 721.0, 2902, 12.4,  9.5,  9.5, 82, 82,10.40,123, 5.9
 700.0, 3150, 11.2,  7.7,  7.7, 79, 79, 9.47,120, 7.2
 693.0, 3234, 11.0,  5.0,  5.0, 66, 66, 7.92,117, 6.7
 670.0, 3515, 10.4, -3.2, -2.9, 38, 38, 4.50,105, 5.2
 669.0, 3527, 10.4, -3.6, -3.2, 37, 37, 4.39,106, 5.1
 665.0, 3577, 10.0,  3.0,  3.0, 62, 62, 7.17,108, 5.0
 640.0, 3893,  8.6, -8.9, -7.9, 28, 28, 3.05,125, 4.1
 634.0, 3971,  8.2,-11.8,-10.5, 23, 23, 2.44,116, 4.1
 623.0, 4113,  7.2,-11.3,-10.1, 25, 25, 2.59,100, 4.1
 590.0, 4556,  4.0, -9.8, -8.7, 36, 36, 3.08,120, 3.1
 577.0, 4737,  2.6, -9.2, -8.2, 41, 41, 3.31,105, 4.1
 565.0, 4908,  1.4, -8.6, -7.6, 47, 47, 3.54,114, 3.2
 564.0, 4922,  1.4,-10.3, -9.1, 42, 42, 3.11,115, 3.1
 562.0, 4951,  1.4,-13.6,-12.1, 32, 32, 2.38,113, 3.2
 552.0, 5094,  0.2, -9.8, -8.7, 47, 47, 3.30,102, 3.5
 529.0, 5434, -0.9,-17.9,-16.0, 26, 26, 1.77, 75, 4.2
 517.0, 5616, -2.5, -5.7, -5.1, 79, 81, 4.85, 61, 4.6
 500.0, 5880, -4.3, -9.3, -8.3, 68, 71, 3.79, 40, 5.2
 497.0, 5927, -4.6, -9.9, -8.8, 66, 69, 3.63, 45, 6.2
 490.0, 6039, -5.3,-11.3,-10.1, 63, 66, 3.30, 48, 6.4
 466.0, 6432, -8.1,-12.6,-11.2, 70, 76, 3.12, 59, 7.1
 464.0, 6465, -8.4,-12.3,-11.0, 73, 79, 3.20, 60, 7.2
 457.0, 6583, -9.3,-11.4,-10.2, 85, 93, 3.51, 64, 7.8
 449.0, 6720, -8.9,-24.9,-22.4, 26, 28, 1.13, 68, 8.5
 442.0, 6842, -9.7,-18.7,-16.8, 48, 53, 1.98, 71, 9.1
 435.0, 6965, -9.8,-21.3,-19.2, 38, 42, 1.61, 75, 9.8
 428.0, 7090, -9.8,-24.0,-21.6, 31, 34, 1.29, 60,11.8
 423.0, 7181, -9.9,-25.9,-23.4, 26, 28, 1.10, 61,11.3
 410.0, 7421,-11.6,-28.1,-25.4, 24, 27, 0.92, 65, 9.8
 400.0, 7610,-12.9,-29.9,-27.1, 23, 26, 0.80, 55,11.8
 396.0, 7686,-12.9,-31.9,-28.9, 19, 21, 0.67, 50,10.8
 392.0, 7762,-13.4,-32.5,-29.5, 18, 21, 0.64, 45, 9.8
 373.0, 8133,-15.7,-35.4,-32.2, 17, 20, 0.51, 55,10.8
 356.0, 8481,-18.0,-38.1,-34.7, 15, 18, 0.40, 30, 8.2
 339.0, 8847,-20.3,-41.0,-37.4, 14, 17, 0.32, 60, 6.2
 329.0, 9070,-21.7,-42.7,-39.0, 13, 16, 0.27, 59, 6.2
 300.0, 9740,-27.3,-47.3,-43.4, 13, 17, 0.18, 55, 6.2
 297.0, 9811,-27.9,-48.0,-44.1, 13, 17, 0.17, 45, 5.2
 288.0,10027,-29.8,-50.2,-46.2, 12, 16, 0.14, 25, 4.1
 271.0,10454,-33.4,-54.5,-50.4, 10, 14, 0.09, 20, 6.2
 254.0,10909,-37.3,-59.2,-54.8,  9, 12, 0.05, 40, 2.1
 250.0,11020,-38.3,-60.3,-55.9,  8, 12, 0.05, 20, 2.1
 249.0,11048,-38.5,-60.6,-56.2,  8, 12, 0.04, 20, 2.1
 242.0,11244,-40.1,-63.1,-58.6,  7, 10, 0.03, 20, 1.3
 239.0,11328,-40.6,     ,     ,   ,   ,     , 20, 1.0
 222.0,11826,-43.8,     ,     ,   ,   ,     , 95, 1.0
 213.0,12105,-45.6,     ,     ,   ,   ,     ,280, 3.1
 208.0,12265,-46.6,     ,     ,   ,   ,     ,335, 3.1
 203.0,12430,-47.7,     ,     ,   ,   ,     ,255, 1.0
 200.0,12530,-48.3,     ,     ,   ,   ,     ,265, 1.0
 194.0,12724,-49.5,     ,     ,   ,   ,     ,225, 1.0
 178.0,13271,-53.0,     ,     ,   ,   ,     ,105, 1.0
 171.0,13527,-54.6,     ,     ,   ,   ,     , 65, 3.1
 150.0,14360,-59.9,     ,     ,   ,   ,     , 65, 6.2
 131.0,15184,-63.6,     ,     ,   ,   ,     , 70,10.8
 125.0,15469,-64.9,     ,     ,   ,   ,     , 95,11.8
 108.0,16359,-68.9,     ,     ,   ,   ,     ,105, 8.2
 105.0,16530,-69.7,     ,     ,   ,   ,     , 85, 8.8
 103.0,16644,-69.6,     ,     ,   ,   ,     , 75, 9.8
 100.0,16820,-69.5,     ,     ,   ,   ,     , 75,10.8
  95.0,17126,-69.3,     ,     ,   ,   ,     ,110,21.1
  85.0,17791,-68.8,     ,     ,   ,   ,     , 95,13.9
  77.0,18381,-68.3,     ,     ,   ,   ,     ,115,13.9
  73.0,18699,-68.1,     ,     ,   ,   ,     , 70,17.0
  70.0,18950,-67.9,     ,     ,   ,   ,     , 95, 9.8
  69.0,19036,-68.3,     ,     ,   ,   ,     , 90, 8.8
  66.9,19222,-69.1,     ,     ,   ,   ,     , 83,10.8
  62.0,19678,-68.5,     ,     ,   ,   ,     , 65,16.0
  60.8,19795,-68.3,     ,     ,   ,   ,     , 68,17.1
  55.0,20405,-64.1,     ,     ,   ,   ,     , 85,23.2
  53.4,20585,-62.9,     ,     ,   ,   ,     , 93,20.5
  52.0,20748,-63.1,     ,     ,   ,   ,     ,100,18.0
  50.0,20990,-63.3,     ,     ,   ,   ,     , 95,19.0
  49.0,21116,-63.0,     ,     ,   ,   ,     ,100,19.0
  47.0,21375,-62.5,     ,     ,   ,   ,     , 95,14.9
  46.0,21509,-62.2,     ,     ,   ,   ,     , 95,18.0
  44.0,21786,-61.6,     ,     ,   ,   ,     , 80,12.9
  39.0,22536,-59.9,     ,     ,   ,   ,     , 80,18.0
  38.0,22701,-59.4,     ,     ,   ,   ,     , 80,19.0
  36.0,23044,-58.5,     ,     ,   ,   ,     , 95,21.1
  35.0,23223,-58.0,     ,     ,   ,   ,     , 85,19.0
  34.0,23406,-57.5,     ,     ,   ,   ,     ,105,19.0
  33.0,23596,-57.0,     ,     ,   ,   ,     , 85,14.9
  31.0,23992,-55.9,     ,     ,   ,   ,     , 80,20.1
  30.0,24200,-55.3,     ,     ,   ,   ,     , 95,18.0
  28.0,24640,-54.3,     ,     ,   ,   ,     , 70,17.0
  27.0,24873,-53.7,     ,     ,   ,   ,     , 75,22.1
  25.9,25138,-53.1,     ,     ,   ,   ,     , 72,18.8
  25.0,25364,-53.4,     ,     ,   ,   ,     , 70,16.0
  22.7,25982,-54.1,     ,     ,   ,   ,     , 85,19.8
  22.0,26184,-52.9,     ,     ,   ,   ,     , 90,21.1
  21.0,26485,-51.0,     ,     ,   ,   ,     , 85,20.1
  20.0,26800,-49.1,     ,     ,   ,   ,     , 80,24.2
  19.0,27136,-49.2,     ,     ,   ,   ,     , 85,25.2
  18.0,27491,-49.3,     ,     ,   ,   ,     , 85,26.8
  17.8,27564,-49.3,     ,     ,   ,   ,     ,   ,    
