time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2024-09-26 11:16:12,-82.4015,27.7053,1003.2,   13, 25.4, 25.2, 25.2, 99, 99,20.49,132, 4.6
2024-09-26 11:16:13,-82.4016,27.7054,1002.4,   20, 25.4, 25.1, 25.1, 98, 98,20.32,113, 7.1
2024-09-26 11:16:14,-82.4017,27.7054,1001.6,   28, 25.4, 24.9, 24.9, 97, 97,20.10,113, 7.2
2024-09-26 11:16:15,-82.4017,27.7054,1000.8,   35, 25.3, 24.7, 24.7, 96, 96,19.90,113, 7.2
2024-09-26 11:16:16,-82.4018,27.7055,1000.0,   42, 25.3, 24.5, 24.5, 95, 95,19.71,113, 7.3
2024-09-26 11:16:17,-82.4019,27.7055, 999.1,   49, 25.3, 24.3, 24.3, 94, 94,19.47,113, 7.4
2024-09-26 11:16:18,-82.4020,27.7055, 998.3,   57, 25.3, 24.1, 24.1, 93, 93,19.27,113, 7.4
2024-09-26 11:16:19,-82.4021,27.7056, 997.7,   64, 25.3, 23.9, 23.9, 92, 92,19.06,113, 7.5
2024-09-26 11:16:20,-82.4022,27.7056, 997.2,   71, 25.2, 23.8, 23.8, 92, 92,18.94,113, 7.6
2024-09-26 11:16:21,-82.4022,27.7056, 996.6,   75, 25.2, 23.8, 23.8, 92, 92,18.92,113, 7.7
2024-09-26 11:16:22,-82.4023,27.7057, 996.1,   79, 25.2, 23.8, 23.8, 92, 92,18.89,112, 7.8
2024-09-26 11:16:23,-82.4024,27.7057, 995.5,   83, 25.2, 23.7, 23.7, 92, 92,18.88,112, 8.0
2024-09-26 11:16:24,-82.4025,27.7058, 994.9,   87, 25.2, 23.7, 23.7, 92, 92,18.86,112, 8.1
2024-09-26 11:16:25,-82.4026,27.7058, 994.4,   90, 25.2, 23.7, 23.7, 92, 92,18.84,112, 8.2
2024-09-26 11:16:26,-82.4027,27.7058, 993.9,   94, 25.1, 23.7, 23.7, 92, 92,18.82,112, 8.3
2024-09-26 11:16:27,-82.4028,27.7059, 993.4,   99, 25.1, 23.6, 23.6, 92, 92,18.80,112, 8.4
