"Station Name: Manila - Dutch John"
"Station ID: 1262315"
"Link To Variable Descriptions: https://climate.usu.edu/mchd/dashboard/overview/UCRN.php"

"META DATA"
Name,Description,Units,Frequency
airt,"average air temperature from PRTs in Met One shield",celsius,dly
airt_max,"maximum 5 minute air temperature from prts in Met One shield",celsius,dly
airt_min,"minimum 5 minute air temperature from prts in Met One shield",celsius,dly
eto,"daily short reference ET from Etsz function",millimeters,dly
etr,"daily tall reference ET from Etsz function",millimeters,dly
precip,"daily precipitation",millimeters,dly
rh_max,"maximum relative humidity from rh sensor in Met One shield",percent,dly
rh_min,"mininum relative humidity from rh sensor in Met One shield",percent,dly
sealevel_pressure,"sea level corrected pressure",Kilopascal,dly
site_pressure,pressure,Kilopascal,dly
solar,"total incoming (short wave) radiation from pyronometer","watts per meter squared",dly
td,"average dew point temperature from rh sensor in Met One shield",celsius,dly
td_max,"maximum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
td_min,"minimum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
timestamp,"date and time",,dly
wetness,"percent of the day that wetness sensor detected precipitation",percent,dly
windd,"average wind direction",degrees,dly
winds,"average wind speed","meters per second",dly
winds_max,"maximum wind gust","meters per second",dly

date_time,station_id,td,td_min,td_max,airt,airt_min,airt_max,rh_max,rh_min,winds,winds_max,windd,precip,wetness,solar,eto,etr,site_pressure,sealevel_pressure
"2022-01-01 23:59:59",1262315,-18.79,-22.85,-13.33,-11.61,-13.81,-9.46,80,36,4.8,12.4,286,0,0,7.62,0.648,0.927,,
"2022-01-02 23:59:59",1262315,-17.96,-22.09,-15.62,-12.22,-16.95,-7.81,80,52,5.9,12.0,138,0,0,9.78,0.622,0.879,,
"2022-01-03 23:59:59",1262315,-14.46,-16.49,-12.99,-5.60,-10.05,-2.75,63,40,8.1,13.5,104,0,0,8.29,1.207,1.737,,
"2022-01-04 23:59:59",1262315,-9.30,-14.36,-4.45,-3.51,-6.83,0.04,88,47,4.6,11.6,213,0,0,6.30,0.868,1.195,,
"2022-01-05 23:59:59",1262315,-4.76,-8.76,-1.34,-0.20,-6.14,4.69,88,52,5.8,17.3,223,0,0,3.18,1.019,1.517,,
"2022-01-06 23:59:59",1262315,-1.96,-2.69,-0.21,4.21,0.48,8.92,85,42,3.4,11.1,244,0,0,9.59,1.543,2.085,,
"2022-01-07 23:59:59",1262315,-3.77,-7.89,-1.87,4.01,-1.21,10.22,91,26,3.4,10.6,162,0,0,9.35,1.520,2.160,,
"2022-01-08 23:59:59",1262315,-6.69,-10.68,-1.70,-1.16,-6.00,1.29,96,41,4.0,11.5,291,1,2,9.05,1.101,1.605,,
"2022-01-09 23:59:59",1262315,-13.05,-17.56,-8.97,-5.10,-9.70,1.23,85,23,2.1,8.7,213,0,0,10.28,0.948,1.234,,
"2022-01-10 23:59:59",1262315,-10.18,-12.65,-8.30,-5.69,-10.36,-0.61,88,55,3.9,9.9,134,0,0,10.34,0.836,1.144,,
"2022-01-11 23:59:59",1262315,-10.84,-14.50,-8.21,-3.27,-8.96,4.66,85,23,1.7,5.6,198,0,0,10.27,0.996,1.297,,
"2022-01-12 23:59:59",1262315,-6.32,-10.41,-2.77,0.53,-5.69,8.70,82,41,1.6,5.1,264,0,0,8.71,1.065,1.411,,
"2022-01-13 23:59:59",1262315,-6.07,-7.81,-4.48,-0.49,-4.79,3.60,85,52,3.9,9.6,155,0,0,8.52,1.074,1.543,,
"2022-01-14 23:59:59",1262315,-5.89,-8.59,-3.37,-0.39,-3.76,3.00,87,49,2.7,7.9,280,0,3,5.10,0.881,1.205,,
"2022-01-15 23:59:59",1262315,-8.29,-11.98,-6.70,-4.04,-8.45,1.69,91,52,2.4,8.4,149,0,0,10.57,0.931,1.253,,
"2022-01-16 23:59:59",1262315,-9.45,-11.71,-6.75,-5.09,-7.73,0.49,91,39,1.1,4.3,220,0,0,3.32,0.396,0.525,,
"2022-01-17 23:59:59",1262315,-9.41,-12.56,-7.68,-3.41,-8.69,2.57,87,42,1.4,6.4,134,0,0,9.56,0.915,1.215,,
"2022-01-18 23:59:59",1262315,-10.57,-14.40,-8.52,-0.90,-5.98,6.21,75,22,1.6,7.7,243,0,0,9.69,1.216,1.569,,
"2022-01-19 23:59:59",1262315,-8.42,-9.41,-7.39,-2.16,-5.27,0.34,78,50,3.0,9.3,289,0,0,5.08,0.822,1.126,,
