"Station Name: Grantsville - Muskrat BLM"
"Station ID: 1262316"
"Link To Variable Descriptions: https://climate.usu.edu/mchd/dashboard/overview/UCRN.php"

"META DATA"
Name,Description,Units,Frequency
airt,"average air temperature from PRTs in Met One shield",celsius,dly
airt_max,"maximum 5 minute air temperature from prts in Met One shield",celsius,dly
airt_min,"minimum 5 minute air temperature from prts in Met One shield",celsius,dly
eto,"daily short reference ET from Etsz function",millimeters,dly
etr,"daily tall reference ET from Etsz function",millimeters,dly
precip,"daily precipitation",millimeters,dly
rh_max,"maximum relative humidity from rh sensor in Met One shield",percent,dly
rh_min,"mininum relative humidity from rh sensor in Met One shield",percent,dly
sealevel_pressure,"sea level corrected pressure",Kilopascal,dly
site_pressure,pressure,Kilopascal,dly
solar,"total incoming (short wave) radiation from pyronometer","watts per meter squared",dly
td,"average dew point temperature from rh sensor in Met One shield",celsius,dly
td_max,"maximum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
td_min,"minimum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
timestamp,"date and time",,dly
wetness,"percent of the day that wetness sensor detected precipitation",percent,dly
windd,"average wind direction",degrees,dly
winds,"average wind speed","meters per second",dly
winds_max,"maximum wind gust","meters per second",dly

date_time,station_id,td,td_min,td_max,airt,airt_min,airt_max,rh_max,rh_min,winds,winds_max,windd,precip,wetness,solar,eto,etr,site_pressure,sealevel_pressure
"2022-01-01 23:59:59",1262316,-15.31,-18.66,-12.52,-9.83,-13.04,-6.55,75,48,1.9,4.9,124,0,0,9.87,0.649,0.795,,
"2022-01-02 23:59:59",1262316,-15.25,-18.17,-12.02,-9.57,-12.24,-5.33,76,49,1.3,3.7,131,0,0,9.71,0.657,0.759,,
"2022-01-03 23:59:59",1262316,-11.05,-15.64,-6.85,-5.94,-10.44,2.36,84,40,1.4,8.5,148,0,0,7.82,0.573,0.681,,
"2022-01-04 23:59:59",1262316,-5.39,-10.66,-2.21,1.68,-2.25,6.05,91,29,2.5,9.9,163,0,3,4.85,0.932,1.256,,
"2022-01-05 23:59:59",1262316,-0.19,-3.22,2.05,5.73,-0.55,8.52,87,52,3.0,12.5,176,0,15,1.96,0.950,1.430,,
"2022-01-06 23:59:59",1262316,1.28,-0.85,3.79,7.26,1.85,11.66,94,48,2.1,6.6,162,1,53,4.87,1.174,1.678,,
"2022-01-07 23:59:59",1262316,-0.87,-4.65,1.77,8.41,4.60,13.39,81,33,2.6,9.6,162,2,64,7.42,1.810,2.675,,
"2022-01-08 23:59:59",1262316,-4.43,-7.48,-0.72,2.31,-1.92,5.71,82,44,1.9,6.5,136,2,76,9.58,1.125,1.448,,
"2022-01-09 23:59:59",1262316,-4.89,-7.77,-2.58,-1.66,-4.41,1.86,87,62,1.4,3.9,179,1,29,9.78,0.814,0.928,,
"2022-01-10 23:59:59",1262316,-5.48,-7.61,-2.66,-2.55,-5.46,1.23,89,65,1.3,4.3,149,1,44,9.68,0.771,0.874,,
"2022-01-11 23:59:59",1262316,-4.56,-7.60,-2.26,-1.97,-5.57,1.87,94,66,1.3,3.6,157,1,30,9.13,0.704,0.787,,
"2022-01-12 23:59:59",1262316,-3.42,-5.59,-0.97,-0.48,-3.40,3.66,92,67,1.3,3.5,167,1,24,9.32,0.763,0.871,,
"2022-01-13 23:59:59",1262316,-2.99,-4.53,-0.52,-0.43,-2.84,2.46,92,71,1.2,3.8,148,1,29,6.12,0.504,0.580,,
