"Station Name: Beaver - Big Flat NFS"
"Station ID: 1262317"
"Link To Variable Descriptions: https://climate.usu.edu/mchd/dashboard/overview/UCRN.php"

"META DATA"
Name,Description,Units,Frequency
airt,"average air temperature from PRTs in Met One shield",celsius,dly
airt_max,"maximum 5 minute air temperature from prts in Met One shield",celsius,dly
airt_min,"minimum 5 minute air temperature from prts in Met One shield",celsius,dly
eto,"daily short reference ET from Etsz function",millimeters,dly
etr,"daily tall reference ET from Etsz function",millimeters,dly
precip,"daily precipitation",millimeters,dly
rh_max,"maximum relative humidity from rh sensor in Met One shield",percent,dly
rh_min,"mininum relative humidity from rh sensor in Met One shield",percent,dly
sealevel_pressure,"sea level corrected pressure",Kilopascal,dly
site_pressure,pressure,Kilopascal,dly
solar,"total incoming (short wave) radiation from pyronometer","watts per meter squared",dly
td,"average dew point temperature from rh sensor in Met One shield",celsius,dly
td_max,"maximum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
td_min,"minimum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
timestamp,"date and time",,dly
wetness,"percent of the day that wetness sensor detected precipitation",percent,dly
windd,"average wind direction",degrees,dly
winds,"average wind speed","meters per second",dly
winds_max,"maximum wind gust","meters per second",dly

date_time,station_id,td,td_min,td_max,airt,airt_min,airt_max,rh_max,rh_min,winds,winds_max,windd,precip,wetness,solar,eto,etr,site_pressure,sealevel_pressure
"2022-01-01 23:59:59",1262317,-18.79,-22.67,-0.95,-16.73,-20.61,-8.72,119,42,1.6,7.9,238,0,2,14.02,0.533,0.581,,
"2022-01-02 23:59:59",1262317,-11.00,-15.71,-6.38,-5.90,-8.99,-3.01,79,40,1.2,5.1,214,10,0,12.50,1.034,1.161,,
"2022-01-03 23:59:59",1262317,-13.32,-16.02,-10.59,-4.78,-6.55,-2.14,62,39,3.4,10.2,257,0,0,11.05,1.181,1.567,,
"2022-01-04 23:59:59",1262317,-14.64,-16.87,-9.70,-5.88,-7.31,-3.94,64,42,4.3,10.5,278,0,0,9.16,1.148,1.560,,
"2022-01-05 23:59:59",1262317,-6.01,-13.28,-0.53,-4.70,-7.10,-1.21,100,60,3.6,7.8,279,0,0,10.69,0.809,0.961,,
"2022-01-06 23:59:59",1262317,-2.61,-4.52,3.69,-2.40,-4.09,0.06,95,71,2.7,7.8,270,0,0,11.94,0.927,1.093,,
"2022-01-07 23:59:59",1262317,-7.65,-10.95,-3.13,-1.50,-3.91,2.53,74,35,4.0,13.1,270,0,0,11.68,1.399,1.928,,
"2022-01-08 23:59:59",1262317,-9.20,-15.06,-5.90,-7.44,-11.64,-4.27,97,65,2.4,9.5,237,5,20,10.91,0.757,0.865,,
"2022-01-09 23:59:59",1262317,-22.98,-30.55,-14.82,-5.70,-11.60,-0.63,70,8,2.0,5.6,110,0,0,12.64,1.519,1.905,,
"2022-01-10 23:59:59",1262317,-26.22,-30.84,-21.83,0.28,-3.20,3.46,19,7,1.6,5.1,175,0,0,12.63,1.652,2.108,,
