"Station Name: Provo - Hub Guard Station"
"Station ID: 1262318"
"Link To Variable Descriptions: https://climate.usu.edu/mchd/dashboard/overview/UCRN.php"

"META DATA"
Name,Description,Units,Frequency
airt,"average air temperature from PRTs in Met One shield",celsius,dly
airt_max,"maximum 5 minute air temperature from prts in Met One shield",celsius,dly
airt_min,"minimum 5 minute air temperature from prts in Met One shield",celsius,dly
eto,"daily short reference ET from Etsz function",millimeters,dly
etr,"daily tall reference ET from Etsz function",millimeters,dly
precip,"daily precipitation",millimeters,dly
rh_max,"maximum relative humidity from rh sensor in Met One shield",percent,dly
rh_min,"mininum relative humidity from rh sensor in Met One shield",percent,dly
sealevel_pressure,"sea level corrected pressure",Kilopascal,dly
site_pressure,pressure,Kilopascal,dly
solar,"total incoming (short wave) radiation from pyronometer","watts per meter squared",dly
td,"average dew point temperature from rh sensor in Met One shield",celsius,dly
td_max,"maximum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
td_min,"minimum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
timestamp,"date and time",,dly
wetness,"percent of the day that wetness sensor detected precipitation",percent,dly
windd,"average wind direction",degrees,dly
winds,"average wind speed","meters per second",dly
winds_max,"maximum wind gust","meters per second",dly

date_time,station_id,td,td_min,td_max,airt,airt_min,airt_max,rh_max,rh_min,winds,winds_max,windd,precip,wetness,solar,eto,etr,site_pressure,sealevel_pressure
"2022-01-01 23:59:59",1262318,-21.82,-30.13,-18.02,-18.46,-24.80,-14.18,90,67,3.6,9.6,302,0,7,10.82,0.432,0.532,,
"2022-01-02 23:59:59",1262318,-23.92,-30.49,-17.10,-21.18,-26.26,-14.20,91,70,0.7,3.4,203,0,0,10.27,0.352,0.378,,
"2022-01-03 23:59:59",1262318,-20.52,-29.80,-11.37,-17.40,-25.08,-3.10,88,40,0.7,4.8,189,0,0,8.23,0.319,0.341,,
"2022-01-04 23:59:59",1262318,-10.45,-14.07,-6.52,-3.67,-7.88,-1.67,93,40,2.6,10.0,257,0,12,5.02,0.768,1.067,,
"2022-01-05 23:59:59",1262318,-4.63,-9.17,-1.94,-1.56,-3.19,0.49,91,61,3.5,10.6,282,12,65,3.65,0.498,0.632,,
"2022-01-06 23:59:59",1262318,-3.02,-10.68,-1.50,0.05,-7.71,2.38,95,70,3.4,9.7,265,2,18,8.54,0.882,1.117,,
"2022-01-07 23:59:59",1262318,-7.26,-14.28,-1.32,-2.39,-10.75,5.07,96,47,1.8,8.3,251,0,0,9.80,1.105,1.407,,
"2022-01-08 23:59:59",1262318,-9.48,-22.08,-3.04,-6.23,-18.24,0.26,92,63,3.5,9.7,296,3,23,11.09,0.798,0.996,,
"2022-01-09 23:59:59",1262318,-22.01,-29.59,-13.21,-19.25,-25.16,-10.32,90,50,0.7,4.3,221,0,0,10.95,0.393,0.416,,
"2022-01-10 23:59:59",1262318,-21.93,-28.30,-14.54,-19.48,-24.43,-13.17,90,77,0.3,2.0,212,0,0,11.07,0.405,0.405,,
"2022-01-11 23:59:59",1262318,-17.97,-23.95,-12.33,-14.04,-19.77,-2.05,89,32,0.9,6.4,214,0,0,10.90,0.587,0.698,,
"2022-01-12 23:59:59",1262318,-12.80,-19.98,-4.45,-9.65,-15.87,1.30,94,55,1.0,4.6,217,0,0,9.46,0.601,0.669,,
"2022-01-13 23:59:59",1262318,-12.42,-20.72,-6.74,-8.10,-16.78,3.33,92,30,1.1,7.7,203,0,0,8.90,0.612,0.665,,
"2022-01-14 23:59:59",1262318,-8.90,-14.73,-6.81,-4.62,-9.90,-1.31,86,64,4.1,10.7,306,0,0,10.69,0.923,1.196,,
"2022-01-15 23:59:59",1262318,-17.30,-24.70,-10.45,-14.37,-19.86,-7.56,91,62,0.5,2.9,217,0,0,11.45,0.564,0.589,,
"2022-01-16 23:59:59",1262318,-18.13,-24.57,-11.19,-12.71,-18.41,-4.67,78,43,0.5,3.1,220,0,0,11.25,0.622,0.670,,
"2022-01-17 23:59:59",1262318,-17.10,-23.81,-9.88,-11.37,-18.14,-4.46,81,43,0.5,4.1,200,0,0,10.22,0.603,0.651,,
"2022-01-18 23:59:59",1262318,-12.76,-16.29,-9.88,-4.38,-10.84,0.98,81,34,1.7,7.7,248,0,0,9.66,1.077,1.425,,
"2022-01-19 23:59:59",1262318,-11.53,-18.12,-8.10,-7.97,-13.56,-3.05,91,58,3.1,8.1,292,0,4,9.79,0.750,0.956,,
"2022-01-20 23:59:59",1262318,-11.84,-18.81,-8.46,-8.46,-15.68,-2.97,90,56,1.9,5.7,253,0,3,11.57,0.748,0.871,,
"2022-01-21 23:59:59",1262318,-8.49,-16.79,-6.19,-5.62,-12.55,-3.16,91,69,3.5,8.5,295,1,20,11.46,0.714,0.905,,
"2022-01-22 23:59:59",1262318,-15.98,-22.66,-11.66,-13.82,-18.74,-10.91,92,73,1.2,4.5,222,0,0,12.05,0.502,0.534,,
"2022-01-23 23:59:59",1262318,-14.23,-24.11,-7.84,-9.76,-20.12,-0.50,89,54,3.6,10.4,280,0,0,12.13,0.993,1.316,,
"2022-01-24 23:59:59",1262318,-14.36,-21.71,-9.85,-10.70,-17.76,-1.58,91,45,1.1,5.8,222,0,0,12.15,0.687,0.787,,
"2022-01-25 23:59:59",1262318,-12.62,-23.63,-8.06,-10.10,-19.81,-5.08,93,65,1.6,5.2,247,1,32,7.78,0.509,0.596,,
"2022-01-26 23:59:59",1262318,-18.10,-26.08,-11.62,-13.74,-22.08,-4.35,89,42,1.9,6.2,274,0,0,12.79,0.857,1.062,,
"2022-01-27 23:59:59",1262318,-18.41,-26.24,-13.74,-14.24,-22.81,-6.17,90,45,2.3,8.4,294,0,0,12.90,0.780,0.993,,
"2022-01-28 23:59:59",1262318,-22.28,-29.06,-15.62,-16.28,-23.27,-2.31,83,22,0.8,6.4,222,0,0,13.15,0.752,0.902,,
"2022-01-29 23:59:59",1262318,-21.69,-28.63,-14.29,-17.73,-23.69,-9.28,87,51,0.3,2.8,214,0,0,13.33,0.616,0.646,,
"2022-01-30 23:59:59",1262318,-21.31,-28.42,-11.58,-16.69,-23.44,-0.43,87,27,0.6,4.0,209,0,0,13.51,0.666,0.748,,
"2022-01-31 23:59:59",1262318,-15.73,-24.60,-10.32,-6.00,-17.75,1.20,76,27,3.3,10.4,259,0,0,13.31,1.634,2.283,,
"2022-02-01 23:59:59",1262318,-20.51,-24.08,-16.95,-15.46,-20.53,-9.71,85,39,2.8,7.9,301,0,2,10.65,0.592,0.777,,
"2022-02-02 23:59:59",1262318,-22.30,-31.00,-16.63,-18.41,-26.34,-12.08,87,49,2.8,9.5,283,1,16,13.07,0.534,0.688,,
"2022-02-03 23:59:59",1262318,-19.26,-27.37,-15.53,-14.86,-21.03,-10.21,81,60,4.8,13.2,315,0,7,11.64,0.605,0.790,,
"2022-02-04 23:59:59",1262318,-17.17,-22.00,-12.84,-12.00,-17.96,-2.57,86,37,2.6,8.4,253,0,0,14.12,0.997,1.262,,
"2022-02-05 23:59:59",1262318,-15.99,-23.91,-10.47,-10.63,-18.60,-1.28,85,44,2.5,9.0,263,0,0,14.20,1.107,1.420,,
"2022-02-06 23:59:59",1262318,-13.03,-18.09,-10.39,-7.50,-14.10,-3.31,90,45,3.7,9.5,300,0,0,14.29,1.129,1.471,,
"2022-02-07 23:59:59",1262318,-13.60,-18.00,-8.68,-6.45,-12.98,3.02,81,27,3.1,6.7,292,0,0,14.74,1.569,2.068,,
"2022-02-08 23:59:59",1262318,-13.77,-18.48,-8.90,-7.41,-13.87,1.98,85,36,1.9,9.0,259,0,0,14.64,1.367,1.756,,
"2022-02-09 23:59:59",1262318,-9.72,-18.86,-5.30,-4.35,-13.94,1.11,85,53,3.5,10.9,280,0,0,11.64,1.200,1.588,,
"2022-02-10 23:59:59",1262318,-5.64,-10.52,-3.34,-1.38,-7.84,3.14,92,60,3.5,9.4,288,0,0,13.79,1.379,1.722,,
"2022-02-11 23:59:59",1262318,-8.24,-12.98,-5.26,-1.14,-7.19,2.85,93,47,4.7,11.1,301,0,0,15.18,1.777,2.301,,
"2022-02-12 23:59:59",1262318,-15.35,-22.12,-8.06,-9.72,-18.72,1.91,88,29,1.1,5.1,218,0,0,15.37,1.135,1.327,,
"2022-02-13 23:59:59",1262318,-15.00,-20.71,-8.16,-8.60,-15.95,5.11,83,19,0.9,5.3,225,0,0,15.74,1.309,1.538,,
"2022-02-14 23:59:59",1262318,-12.90,-18.27,-6.60,-6.50,-13.55,5.55,86,29,0.9,5.8,216,0,0,13.48,1.235,1.483,,
"2022-02-15 23:59:59",1262318,-12.35,-18.66,-5.99,-7.48,-15.52,2.87,90,31,1.0,7.5,229,0,1,12.16,0.999,1.204,,
"2022-02-16 23:59:59",1262318,-9.18,-11.72,-5.43,-6.29,-8.63,-3.44,93,73,4.5,10.7,314,2,45,7.62,0.586,0.756,,
"2022-02-17 23:59:59",1262318,-12.65,-18.59,-9.65,-9.25,-14.72,-5.16,91,59,3.4,9.0,290,0,9,15.38,0.972,1.188,,
"2022-02-18 23:59:59",1262318,-13.50,-22.37,-7.91,-9.63,-18.86,-0.53,91,56,2.3,8.4,276,0,0,16.10,1.184,1.484,,
"2022-02-19 23:59:59",1262318,-14.80,-21.17,-8.27,-9.96,-17.43,2.36,91,30,1.0,6.5,210,0,0,16.91,1.205,1.388,,
"2022-02-20 23:59:59",1262318,-13.43,-18.71,-7.54,-3.89,-14.17,3.75,87,26,1.8,9.8,232,0,1,14.97,1.804,2.335,,
"2022-02-21 23:59:59",1262318,-9.52,-18.36,-6.63,-5.27,-13.29,1.07,89,40,3.0,8.6,297,4,61,7.11,0.703,0.846,,
"2022-02-22 23:59:59",1262318,-16.27,-23.99,-13.58,-13.27,-19.85,-9.66,90,68,2.6,8.0,176,7,65,13.24,0.693,0.825,,
"2022-02-23 23:59:59",1262318,-17.69,-23.58,-14.85,-14.49,-20.47,-11.95,86,72,3.3,7.6,216,2,41,11.59,0.552,0.666,,
"2022-02-24 23:59:59",1262318,-20.87,-29.20,-16.12,-16.33,-24.95,-11.14,86,34,1.8,7.4,252,0,17,16.23,0.756,0.898,,
