"Station Name: Bluff - Natural Bridges NM"
"Station ID: 1262319"
"Link To Variable Descriptions: https://climate.usu.edu/mchd/dashboard/overview/UCRN.php"

"META DATA"
Name,Description,Units,Frequency
airt,"average air temperature from PRTs in Met One shield",celsius,dly
airt_max,"maximum 5 minute air temperature from prts in Met One shield",celsius,dly
airt_min,"minimum 5 minute air temperature from prts in Met One shield",celsius,dly
eto,"daily short reference ET from Etsz function",millimeters,dly
etr,"daily tall reference ET from Etsz function",millimeters,dly
precip,"daily precipitation",millimeters,dly
rh_max,"maximum relative humidity from rh sensor in Met One shield",percent,dly
rh_min,"mininum relative humidity from rh sensor in Met One shield",percent,dly
sealevel_pressure,"sea level corrected pressure",Kilopascal,dly
site_pressure,pressure,Kilopascal,dly
solar,"total incoming (short wave) radiation from pyronometer","watts per meter squared",dly
td,"average dew point temperature from rh sensor in Met One shield",celsius,dly
td_max,"maximum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
td_min,"minimum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
timestamp,"date and time",,dly
wetness,"percent of the day that wetness sensor detected precipitation",percent,dly
windd,"average wind direction",degrees,dly
winds,"average wind speed","meters per second",dly
winds_max,"maximum wind gust","meters per second",dly

date_time,station_id,td,td_min,td_max,airt,airt_min,airt_max,rh_max,rh_min,winds,winds_max,windd,precip,wetness,solar,eto,etr,site_pressure,sealevel_pressure
"2022-01-01 23:59:59",1262319,-15.05,-18.46,-6.76,-7.50,-12.00,-3.80,83,42,1.5,6.1,190,0,2,11.99,0.883,1.097,,
"2022-01-02 23:59:59",1262319,-16.00,-19.26,-11.88,-7.68,-12.43,-2.09,73,30,0.5,2.6,138,0,0,11.92,0.794,0.875,,
"2022-01-03 23:59:59",1262319,-12.53,-15.39,-10.00,-3.72,-9.47,1.10,72,40,1.1,4.9,123,0,0,11.59,0.997,1.230,,
"2022-01-04 23:59:59",1262319,-11.05,-12.48,-8.87,-0.64,-3.56,3.50,59,32,0.7,3.1,96,0,0,8.30,0.803,0.972,,
"2022-01-05 23:59:59",1262319,-7.57,-11.32,-4.80,0.85,-3.30,5.96,71,40,1.0,3.1,91,0,0,11.33,1.243,1.488,,
"2022-01-06 23:59:59",1262319,-3.17,-5.19,-1.36,3.19,-0.81,8.66,78,48,0.9,2.9,89,0,0,11.65,1.211,1.401,,
"2022-01-07 23:59:59",1262319,-2.04,-3.29,-0.63,4.54,0.84,9.17,79,47,1.2,4.9,100,0,0,12.14,1.332,1.629,,
"2022-01-08 23:59:59",1262319,-4.08,-10.34,0.70,2.59,-1.48,5.50,86,47,0.8,4.6,174,0,5,8.72,0.744,0.859,,
"2022-01-09 23:59:59",1262319,-8.21,-10.47,-5.19,-1.11,-5.99,4.67,78,43,0.6,3.4,194,0,0,12.43,1.102,1.218,,
"2022-01-10 23:59:59",1262319,-8.43,-12.32,-6.16,-1.43,-6.02,5.26,84,41,0.6,2.5,153,0,0,12.53,1.125,1.240,,
"2022-01-11 23:59:59",1262319,-8.67,-12.93,-5.96,-1.32,-4.99,5.10,76,41,0.6,3.3,164,0,0,12.19,1.054,1.160,,
"2022-01-12 23:59:59",1262319,-7.62,-10.34,-5.11,-0.35,-5.04,6.04,80,40,0.5,4.0,189,0,0,12.00,1.036,1.135,,
"2022-01-13 23:59:59",1262319,-6.46,-8.45,-4.54,2.14,-3.70,8.01,75,37,0.5,3.4,141,0,0,11.31,1.167,1.307,,
"2022-01-14 23:59:59",1262319,-6.47,-7.45,-5.65,2.55,-2.67,6.91,73,36,1.1,5.9,163,0,0,12.72,1.462,1.818,,
"2022-01-15 23:59:59",1262319,-8.45,-12.69,-6.25,0.59,-3.79,6.51,70,32,0.7,4.7,185,0,0,12.90,1.273,1.456,,
"2022-01-16 23:59:59",1262319,-10.21,-13.76,-8.06,-0.21,-4.60,6.79,67,31,0.6,2.5,147,0,0,13.28,1.303,1.458,,
"2022-01-17 23:59:59",1262319,-10.56,-15.20,-7.00,0.01,-4.28,6.02,61,34,0.7,3.1,95,0,0,11.09,1.201,1.408,,
