"Station Name: Mexican Hat - Muley Point"
"Station ID: 1262320"
"Link To Variable Descriptions: https://climate.usu.edu/mchd/dashboard/overview/UCRN.php"

"META DATA"
Name,Description,Units,Frequency
airt,"average air temperature from PRTs in Met One shield",celsius,dly
airt_max,"maximum 5 minute air temperature from prts in Met One shield",celsius,dly
airt_min,"minimum 5 minute air temperature from prts in Met One shield",celsius,dly
eto,"daily short reference ET from Etsz function",millimeters,dly
etr,"daily tall reference ET from Etsz function",millimeters,dly
precip,"daily precipitation",millimeters,dly
rh_max,"maximum relative humidity from rh sensor in Met One shield",percent,dly
rh_min,"mininum relative humidity from rh sensor in Met One shield",percent,dly
sealevel_pressure,"sea level corrected pressure",Kilopascal,dly
site_pressure,pressure,Kilopascal,dly
solar,"total incoming (short wave) radiation from pyronometer","watts per meter squared",dly
td,"average dew point temperature from rh sensor in Met One shield",celsius,dly
td_max,"maximum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
td_min,"minimum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
timestamp,"date and time",,dly
wetness,"percent of the day that wetness sensor detected precipitation",percent,dly
windd,"average wind direction",degrees,dly
winds,"average wind speed","meters per second",dly
winds_max,"maximum wind gust","meters per second",dly

date_time,station_id,td,td_min,td_max,airt,airt_min,airt_max,rh_max,rh_min,winds,winds_max,windd,precip,wetness,solar,eto,etr,site_pressure,sealevel_pressure
"2022-01-01 23:59:59",1262320,-14.98,-19.42,-6.09,-7.12,-9.24,-4.12,90,37,6.0,14.2,305,0,1,11.26,1.059,1.484,,
"2022-01-02 23:59:59",1262320,-17.10,-20.14,-13.79,-6.76,-9.62,-2.93,64,31,1.5,6.3,193,0,0,11.73,0.912,1.102,,
"2022-01-03 23:59:59",1262320,-12.81,-15.21,-11.04,-5.41,-8.05,-2.09,68,47,4.2,9.0,95,0,0,11.30,1.096,1.436,,
"2022-01-04 23:59:59",1262320,-11.15,-12.56,-8.69,0.14,-4.54,3.53,63,30,1.7,7.0,183,0,0,9.21,1.171,1.517,,
"2022-01-05 23:59:59",1262320,-7.62,-11.95,-3.76,2.14,-1.58,5.76,61,36,1.8,5.7,173,0,0,10.32,1.351,1.741,,
"2022-01-06 23:59:59",1262320,-3.42,-5.18,-2.51,4.49,1.96,7.80,71,46,1.8,4.6,208,0,0,11.48,1.479,1.854,,
"2022-01-07 23:59:59",1262320,-2.77,-4.09,-1.80,3.93,-0.38,8.91,83,45,3.4,6.9,118,0,0,11.88,1.594,2.132,,
"2022-01-08 23:59:59",1262320,-4.61,-10.08,-1.38,3.67,0.24,6.10,64,44,3.0,7.5,237,0,0,9.92,1.495,2.026,,
"2022-01-09 23:59:59",1262320,-9.46,-11.38,-6.84,0.33,-2.55,3.73,61,37,1.9,7.5,163,0,0,12.28,1.419,1.797,,
"2022-01-10 23:59:59",1262320,-7.34,-9.33,-6.37,0.46,-2.69,4.07,70,44,1.0,3.3,132,0,0,12.30,1.109,1.287,,
"2022-01-11 23:59:59",1262320,-7.52,-8.79,-5.56,0.12,-1.99,3.25,72,44,1.7,6.2,184,0,0,11.80,1.218,1.509,,
"2022-01-12 23:59:59",1262320,-8.49,-10.89,-7.48,1.01,-3.00,4.80,69,37,2.2,5.7,185,0,0,12.11,1.490,1.969,,
"2022-01-13 23:59:59",1262320,-8.19,-10.00,-6.68,2.31,-0.52,5.91,56,38,1.8,5.3,133,0,0,10.95,1.395,1.752,,
"2022-01-14 23:59:59",1262320,-7.38,-8.25,-6.54,3.23,-0.30,6.99,62,34,3.8,11.8,226,0,0,12.57,2.038,2.894,,
"2022-01-15 23:59:59",1262320,-8.38,-10.90,-6.92,0.62,-3.09,5.18,71,35,2.5,6.2,222,0,0,12.71,1.582,2.095,,
"2022-01-16 23:59:59",1262320,-9.15,-14.73,-7.46,0.91,-1.78,5.15,60,24,1.6,3.9,200,0,0,13.01,1.438,1.796,,
"2022-01-17 23:59:59",1262320,-9.25,-13.00,-7.86,0.25,-4.09,3.03,69,34,1.7,3.8,138,0,0,10.01,1.195,1.499,,
"2022-01-18 23:59:59",1262320,-8.49,-10.42,-6.64,1.27,-3.43,5.17,66,33,2.6,7.1,210,0,0,12.25,1.763,2.274,,
"2022-01-19 23:59:59",1262320,-7.52,-8.89,-5.14,1.33,-1.98,5.52,76,34,3.1,7.5,300,0,0,11.51,1.688,2.219,,
"2022-01-20 23:59:59",1262320,-9.76,-15.31,-7.78,0.16,-3.61,3.90,68,25,2.8,7.7,207,0,0,13.18,1.638,2.124,,
"2022-01-21 23:59:59",1262320,-7.62,-11.62,-2.18,-1.60,-3.50,0.61,95,45,2.4,5.1,132,1,15,4.52,0.798,1.065,,
"2022-01-22 23:59:59",1262320,-6.58,-8.14,-5.00,1.35,-3.03,6.21,82,36,3.9,12.2,70,0,0,13.11,1.750,2.427,,
"2022-01-23 23:59:59",1262320,-7.34,-10.29,-4.78,0.86,-2.73,5.14,73,40,2.5,7.2,200,0,0,13.50,1.635,2.032,,
"2022-01-24 23:59:59",1262320,-10.05,-13.65,-7.50,2.14,-2.81,7.49,63,24,3.1,7.2,297,0,0,13.72,2.026,2.674,,
"2022-01-25 23:59:59",1262320,-10.89,-14.05,-8.06,1.48,-2.76,4.58,57,25,3.0,10.7,153,0,0,9.37,1.598,2.170,,
"2022-01-26 23:59:59",1262320,-13.02,-17.28,-10.41,-1.99,-6.30,2.10,65,29,2.5,7.4,218,0,0,14.07,1.673,2.173,,
"2022-01-27 23:59:59",1262320,-15.13,-16.74,-13.06,-1.37,-5.60,2.54,47,24,4.1,16.6,264,0,0,13.96,1.924,2.786,,
"2022-01-28 23:59:59",1262320,-16.48,-19.08,-14.31,-2.33,-6.44,2.30,52,21,2.0,5.0,169,0,0,14.40,1.658,2.162,,
"2022-01-29 23:59:59",1262320,-16.15,-17.65,-14.65,-0.53,-3.06,3.20,35,23,1.4,4.6,161,0,0,14.53,1.593,2.048,,
"2022-01-30 23:59:59",1262320,-15.14,-16.62,-13.94,0.53,-2.45,4.58,40,23,2.2,7.3,228,0,0,14.47,1.929,2.597,,
"2022-01-31 23:59:59",1262320,-15.62,-17.51,-13.54,2.62,-2.97,7.06,40,16,2.1,5.6,183,0,0,13.61,2.007,2.632,,
"2022-02-01 23:59:59",1262320,-14.04,-17.64,-11.24,1.00,-1.98,3.65,39,22,2.4,6.5,241,0,0,5.64,1.243,1.765,,
