"Station Name: Monticello - Indian Creek"
"Station ID: 1262321"
"Link To Variable Descriptions: https://climate.usu.edu/mchd/dashboard/overview/UCRN.php"

"META DATA"
Name,Description,Units,Frequency
airt,"average air temperature from PRTs in Met One shield",celsius,dly
airt_max,"maximum 5 minute air temperature from prts in Met One shield",celsius,dly
airt_min,"minimum 5 minute air temperature from prts in Met One shield",celsius,dly
eto,"daily short reference ET from Etsz function",millimeters,dly
etr,"daily tall reference ET from Etsz function",millimeters,dly
precip,"daily precipitation",millimeters,dly
rh_max,"maximum relative humidity from rh sensor in Met One shield",percent,dly
rh_min,"mininum relative humidity from rh sensor in Met One shield",percent,dly
sealevel_pressure,"sea level corrected pressure",Kilopascal,dly
site_pressure,pressure,Kilopascal,dly
solar,"total incoming (short wave) radiation from pyronometer","watts per meter squared",dly
td,"average dew point temperature from rh sensor in Met One shield",celsius,dly
td_max,"maximum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
td_min,"minimum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
timestamp,"date and time",,dly
wetness,"percent of the day that wetness sensor detected precipitation",percent,dly
windd,"average wind direction",degrees,dly
winds,"average wind speed","meters per second",dly
winds_max,"maximum wind gust","meters per second",dly

date_time,station_id,td,td_min,td_max,airt,airt_min,airt_max,rh_max,rh_min,winds,winds_max,windd,precip,wetness,solar,eto,etr,site_pressure,sealevel_pressure
"2022-01-01 23:59:59",1262321,-12.05,-18.58,-4.41,-6.96,-12.47,-3.25,93,51,1.2,6.0,216,1,21,10.41,0.622,0.695,,
"2022-01-02 23:59:59",1262321,-15.35,-19.60,-10.94,-10.88,-14.82,-5.50,84,53,1.4,6.5,135,0,0,10.75,0.642,0.742,,
"2022-01-03 23:59:59",1262321,-13.69,-19.29,-9.25,-9.95,-15.64,-4.56,85,58,1.1,4.7,144,0,0,10.11,0.591,0.666,,
"2022-01-04 23:59:59",1262321,-9.70,-14.05,-5.09,-6.07,-10.27,-0.70,88,62,1.0,4.1,153,0,0,8.40,0.612,0.685,,
"2022-01-05 23:59:59",1262321,-6.70,-12.57,-2.27,-1.63,-8.87,6.62,85,44,1.4,5.2,160,0,0,10.41,1.000,1.167,,
"2022-01-06 23:59:59",1262321,-2.15,-5.34,1.36,3.56,-1.84,10.92,83,43,1.6,4.9,165,0,0,10.48,1.224,1.475,,
"2022-01-07 23:59:59",1262321,-1.31,-3.60,0.89,7.00,-0.20,13.92,85,33,2.9,7.5,166,0,0,10.85,1.953,2.670,,
"2022-01-08 23:59:59",1262321,-1.85,-7.47,1.43,5.08,-1.46,9.90,85,44,2.3,9.3,182,0,10,5.42,0.929,1.225,,
"2022-01-09 23:59:59",1262321,-5.93,-7.82,-4.03,-0.30,-4.18,5.19,85,46,1.2,3.8,174,0,0,11.03,1.065,1.294,,
"2022-01-10 23:59:59",1262321,-6.20,-8.70,-4.62,-1.51,-5.36,4.09,87,51,1.2,5.0,158,0,0,11.11,0.954,1.140,,
"2022-01-11 23:59:59",1262321,-6.25,-8.36,-4.40,-1.05,-5.26,5.24,87,48,1.4,4.9,178,0,0,11.11,1.061,1.311,,
"2022-01-12 23:59:59",1262321,-6.62,-8.85,-4.70,-0.40,-5.11,5.88,83,39,1.4,5.7,159,0,0,10.88,1.071,1.316,,
"2022-01-13 23:59:59",1262321,-6.04,-8.29,-3.86,0.52,-5.08,5.57,84,42,1.3,4.9,154,0,0,9.67,1.048,1.291,,
"2022-01-14 23:59:59",1262321,-5.31,-7.06,-3.70,1.98,-4.23,8.95,87,35,1.9,8.8,192,0,0,11.31,1.501,2.027,,
"2022-01-15 23:59:59",1262321,-7.36,-9.19,-5.73,-0.43,-4.48,5.83,83,35,1.6,4.2,194,0,0,11.57,1.237,1.529,,
"2022-01-16 23:59:59",1262321,-9.16,-11.75,-6.83,-1.32,-6.77,5.74,78,33,1.4,4.7,173,0,0,11.72,1.218,1.503,,
"2022-01-17 23:59:59",1262321,-9.17,-12.71,-6.96,-1.60,-7.44,4.58,77,41,1.4,3.8,162,0,0,9.37,1.067,1.331,,
"2022-01-18 23:59:59",1262321,-7.04,-8.85,-5.86,-0.29,-5.12,5.70,83,39,1.2,4.1,172,0,0,7.89,0.969,1.216,,
"2022-01-19 23:59:59",1262321,-7.17,-8.71,-4.95,0.24,-4.31,6.84,80,36,1.3,4.5,190,0,0,11.24,1.244,1.526,,
"2022-01-20 23:59:59",1262321,-8.81,-11.91,-6.42,-0.65,-6.59,5.67,83,34,1.5,5.1,170,0,0,11.95,1.322,1.625,,
"2022-01-21 23:59:59",1262321,-4.82,-11.35,-0.96,-0.35,-2.49,0.97,93,47,1.1,4.8,175,1,18,3.80,0.468,0.561,,
"2022-01-22 23:59:59",1262321,-3.42,-6.33,-1.47,-0.07,-4.32,5.37,93,56,1.3,3.8,191,0,2,11.38,1.111,1.288,,
"2022-01-23 23:59:59",1262321,-5.97,-8.27,-3.15,-0.17,-5.36,6.40,88,37,1.5,5.2,178,0,0,12.29,1.282,1.553,,
"2022-01-24 23:59:59",1262321,-8.22,-10.90,-6.02,0.57,-4.86,8.74,77,25,1.6,4.5,169,0,0,12.44,1.502,1.865,,
"2022-01-25 23:59:59",1262321,-8.70,-11.96,-5.99,0.63,-3.27,5.45,66,38,2.3,7.7,211,0,0,8.90,1.370,1.865,,
"2022-01-26 23:59:59",1262321,-12.33,-18.01,-9.72,-2.36,-7.89,4.22,79,18,1.5,4.9,175,0,0,12.92,1.434,1.798,,
"2022-01-27 23:59:59",1262321,-12.79,-14.49,-10.97,-2.38,-7.45,3.88,67,26,2.9,11.0,177,0,0,12.00,1.608,2.258,,
