"Station Name: Price - Carbon County Airport"
"Station ID: 1262322"
"Link To Variable Descriptions: https://climate.usu.edu/mchd/dashboard/overview/UCRN.php"

"META DATA"
Name,Description,Units,Frequency
airt,"average air temperature from PRTs in Met One shield",celsius,dly
airt_max,"maximum 5 minute air temperature from prts in Met One shield",celsius,dly
airt_min,"minimum 5 minute air temperature from prts in Met One shield",celsius,dly
eto,"daily short reference ET from Etsz function",millimeters,dly
etr,"daily tall reference ET from Etsz function",millimeters,dly
precip,"daily precipitation",millimeters,dly
rh_max,"maximum relative humidity from rh sensor in Met One shield",percent,dly
rh_min,"mininum relative humidity from rh sensor in Met One shield",percent,dly
sealevel_pressure,"sea level corrected pressure",Kilopascal,dly
site_pressure,pressure,Kilopascal,dly
solar,"total incoming (short wave) radiation from pyronometer","watts per meter squared",dly
td,"average dew point temperature from rh sensor in Met One shield",celsius,dly
td_max,"maximum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
td_min,"minimum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
timestamp,"date and time",,dly
wetness,"percent of the day that wetness sensor detected precipitation",percent,dly
windd,"average wind direction",degrees,dly
winds,"average wind speed","meters per second",dly
winds_max,"maximum wind gust","meters per second",dly

date_time,station_id,td,td_min,td_max,airt,airt_min,airt_max,rh_max,rh_min,winds,winds_max,windd,precip,wetness,solar,eto,etr,site_pressure,sealevel_pressure
"2022-01-01 23:59:59",1262322,-16.92,-20.48,-13.52,-9.53,-13.55,-7.90,69,46,5.6,14.3,292,0,0,10.12,0.832,1.174,,
"2022-01-02 23:59:59",1262322,-18.90,-22.16,-15.66,-12.34,-16.83,-6.89,71,46,1.6,4.1,129,0,0,9.98,0.621,0.740,,
"2022-01-03 23:59:59",1262322,-17.14,-20.98,-14.17,-11.64,-15.88,-7.15,74,47,1.2,2.9,105,0,0,8.75,0.513,0.595,,
"2022-01-04 23:59:59",1262322,-12.90,-15.35,-10.16,-7.59,-11.37,-2.64,77,53,1.5,4.7,92,0,0,9.03,0.686,0.852,,
"2022-01-05 23:59:59",1262322,-7.36,-13.76,-0.74,-1.48,-8.97,6.10,78,53,2.4,12.3,192,0,0,10.04,1.006,1.202,,
"2022-01-06 23:59:59",1262322,-2.96,-4.46,-1.00,2.45,-1.38,6.43,86,56,1.9,10.2,121,0,0,8.26,0.910,1.133,,
"2022-01-07 23:59:59",1262322,-3.43,-6.86,-1.55,0.06,-3.67,4.72,91,63,1.4,3.8,117,0,0,9.52,0.826,0.959,,
"2022-01-08 23:59:59",1262322,-6.13,-10.01,-1.99,0.17,-3.01,2.52,89,46,3.9,11.0,278,0,0,9.84,1.258,1.788,,
"2022-01-09 23:59:59",1262322,-11.67,-15.30,-9.26,-3.80,-8.81,1.28,70,40,1.6,6.7,141,0,0,10.48,0.965,1.164,,
"2022-01-10 23:59:59",1262322,-11.41,-13.93,-9.07,-4.71,-9.27,1.09,75,40,1.5,3.6,98,0,0,10.55,0.882,1.051,,
"2022-01-11 23:59:59",1262322,-11.01,-13.58,-8.81,-4.28,-8.77,1.16,75,41,1.3,3.3,113,0,0,10.48,0.855,1.020,,
"2022-01-12 23:59:59",1262322,-8.88,-11.52,-6.40,-2.68,-6.54,2.34,80,43,1.4,4.2,93,0,0,9.64,0.890,1.075,,
"2022-01-13 23:59:59",1262322,-6.67,-9.08,-3.67,-2.23,-6.11,2.12,85,57,1.3,3.4,105,0,0,8.19,0.781,0.913,,
"2022-01-14 23:59:59",1262322,-6.17,-8.96,-3.87,0.92,-4.51,6.63,81,44,3.3,8.1,192,0,0,10.65,1.539,2.123,,
"2022-01-15 23:59:59",1262322,-7.53,-10.43,-5.02,-2.24,-6.48,2.49,83,52,1.6,5.8,98,0,0,10.79,0.971,1.143,,
"2022-01-16 23:59:59",1262322,-7.89,-10.82,-6.06,-3.63,-7.62,1.89,84,53,1.3,3.1,92,0,0,7.24,0.613,0.709,,
"2022-01-17 23:59:59",1262322,-8.02,-11.63,-5.08,-3.06,-7.80,2.13,80,52,1.3,3.2,103,0,0,9.96,0.937,1.100,,
"2022-01-18 23:59:59",1262322,-6.83,-8.85,-5.37,-2.21,-5.52,1.87,83,53,1.1,3.1,113,0,0,7.51,0.715,0.842,,
"2022-01-19 23:59:59",1262322,-6.31,-7.77,-4.98,1.35,-2.88,4.80,80,41,4.3,9.1,303,0,0,10.27,1.614,2.219,,
"2022-01-20 23:59:59",1262322,-8.02,-10.78,-5.83,-1.14,-5.68,2.92,74,43,1.7,6.0,170,0,0,11.09,1.085,1.301,,
"2022-01-21 23:59:59",1262322,-5.86,-7.07,-3.64,0.11,-2.43,3.94,81,48,1.9,7.1,110,0,0,7.73,0.977,1.220,,
