"Station Name: Blanding - Bluff, Sand Island"
"Station ID: 1262324"
"Link To Variable Descriptions: https://climate.usu.edu/mchd/dashboard/overview/UCRN.php"

"META DATA"
Name,Description,Units,Frequency
airt,"average air temperature from PRTs in Met One shield",celsius,dly
airt_max,"maximum 5 minute air temperature from prts in Met One shield",celsius,dly
airt_min,"minimum 5 minute air temperature from prts in Met One shield",celsius,dly
eto,"daily short reference ET from Etsz function",millimeters,dly
etr,"daily tall reference ET from Etsz function",millimeters,dly
precip,"daily precipitation",millimeters,dly
rh_max,"maximum relative humidity from rh sensor in Met One shield",percent,dly
rh_min,"mininum relative humidity from rh sensor in Met One shield",percent,dly
sealevel_pressure,"sea level corrected pressure",Kilopascal,dly
site_pressure,pressure,Kilopascal,dly
solar,"total incoming (short wave) radiation from pyronometer","watts per meter squared",dly
td,"average dew point temperature from rh sensor in Met One shield",celsius,dly
td_max,"maximum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
td_min,"minimum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
timestamp,"date and time",,dly
wetness,"percent of the day that wetness sensor detected precipitation",percent,dly
windd,"average wind direction",degrees,dly
winds,"average wind speed","meters per second",dly
winds_max,"maximum wind gust","meters per second",dly

date_time,station_id,td,td_min,td_max,airt,airt_min,airt_max,rh_max,rh_min,winds,winds_max,windd,precip,wetness,solar,eto,etr,site_pressure,sealevel_pressure
"2022-01-01 23:59:59",1262324,-12.76,-19.15,-0.50,-1.05,-7.19,2.66,86,21,3.5,10.4,247,0,1,11.36,1.657,2.421,,
"2022-01-02 23:59:59",1262324,-13.10,-16.11,-11.11,-5.54,-10.51,0.98,83,27,1.0,3.7,177,0,0,11.53,0.918,1.134,,
"2022-01-03 23:59:59",1262324,-11.01,-12.87,-7.97,-4.14,-8.83,1.86,79,38,1.4,5.1,153,0,0,11.17,0.942,1.173,,
"2022-01-04 23:59:59",1262324,-7.93,-10.39,-6.49,-2.35,-8.09,4.80,88,41,0.8,3.5,155,0,0,8.51,0.699,0.840,,
"2022-01-05 23:59:59",1262324,-7.49,-10.15,-5.78,-1.67,-7.60,7.07,89,39,0.8,3.4,173,0,0,10.80,0.962,1.123,,
"2022-01-06 23:59:59",1262324,-5.36,-8.36,-2.50,0.32,-6.36,9.71,89,41,0.8,4.2,181,0,0,11.20,1.071,1.250,,
"2022-01-07 23:59:59",1262324,-3.79,-7.14,-1.08,1.55,-5.51,11.23,91,41,0.9,4.2,158,0,0,11.51,1.155,1.392,,
"2022-01-08 23:59:59",1262324,-3.13,-6.33,-0.28,4.13,-2.10,11.91,83,31,1.5,7.8,178,0,0,9.49,1.470,1.958,,
"2022-01-09 23:59:59",1262324,-7.76,-9.86,-4.73,-0.39,-7.20,9.30,91,28,0.9,3.6,189,0,0,12.00,1.325,1.631,,
"2022-01-10 23:59:59",1262324,-7.91,-10.80,-4.95,-1.87,-8.28,7.61,87,37,0.7,3.5,180,0,0,11.95,1.092,1.263,,
"2022-01-11 23:59:59",1262324,-7.75,-9.76,-5.28,-1.87,-7.57,7.81,89,37,0.9,4.9,180,0,0,11.63,1.066,1.271,,
"2022-01-12 23:59:59",1262324,-7.98,-10.14,-6.08,-0.56,-7.91,10.15,87,29,1.0,4.2,196,0,0,11.88,1.185,1.448,,
"2022-01-13 23:59:59",1262324,-7.59,-9.65,-5.94,0.54,-5.84,8.30,82,32,1.0,4.2,155,0,0,10.79,1.160,1.422,,
