"Station Name: Milford - Desert Range Exp. Station"
"Station ID: 1262325"
"Link To Variable Descriptions: https://climate.usu.edu/mchd/dashboard/overview/UCRN.php"

"META DATA"
Name,Description,Units,Frequency
airt,"average air temperature from PRTs in Met One shield",celsius,dly
airt_max,"maximum 5 minute air temperature from prts in Met One shield",celsius,dly
airt_min,"minimum 5 minute air temperature from prts in Met One shield",celsius,dly
eto,"daily short reference ET from Etsz function",millimeters,dly
etr,"daily tall reference ET from Etsz function",millimeters,dly
precip,"daily precipitation",millimeters,dly
rh_max,"maximum relative humidity from rh sensor in Met One shield",percent,dly
rh_min,"mininum relative humidity from rh sensor in Met One shield",percent,dly
sealevel_pressure,"sea level corrected pressure",Kilopascal,dly
site_pressure,pressure,Kilopascal,dly
solar,"total incoming (short wave) radiation from pyronometer","watts per meter squared",dly
td,"average dew point temperature from rh sensor in Met One shield",celsius,dly
td_max,"maximum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
td_min,"minimum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
timestamp,"date and time",,dly
wetness,"percent of the day that wetness sensor detected precipitation",percent,dly
windd,"average wind direction",degrees,dly
winds,"average wind speed","meters per second",dly
winds_max,"maximum wind gust","meters per second",dly

date_time,station_id,td,td_min,td_max,airt,airt_min,airt_max,rh_max,rh_min,winds,winds_max,windd,precip,wetness,solar,eto,etr,site_pressure,sealevel_pressure
"2022-01-01 23:59:59",1262325,-13.38,-15.52,-10.23,-7.43,-12.46,-4.80,84,47,2.3,6.4,197,0,0,11.07,0.822,1.033,,
"2022-01-02 23:59:59",1262325,-13.72,-17.71,-7.87,-9.74,-14.86,-3.05,87,50,0.9,3.0,222,0,0,11.10,0.637,0.703,,
"2022-01-03 23:59:59",1262325,-11.70,-14.23,-8.20,-1.73,-10.41,8.11,87,22,3.1,11.1,205,0,0,10.05,1.635,2.210,,
"2022-01-04 23:59:59",1262325,-9.86,-13.62,-5.80,3.51,-1.80,8.93,75,23,3.1,8.8,208,0,0,8.70,1.815,2.488,,
"2022-01-05 23:59:59",1262325,-3.29,-7.01,-0.79,3.77,-2.83,11.73,84,41,2.3,8.7,234,0,0,9.91,1.533,1.968,,
"2022-01-06 23:59:59",1262325,-1.62,-5.25,1.38,3.65,-2.98,13.07,92,39,1.4,5.0,207,0,0,10.91,1.245,1.443,,
"2022-01-07 23:59:59",1262325,-2.87,-4.34,-1.00,5.43,-1.78,12.34,88,33,3.4,10.3,211,0,0,10.07,2.003,2.867,,
"2022-01-08 23:59:59",1262325,-3.73,-5.57,-1.75,2.54,-1.07,5.83,81,47,2.3,7.6,198,0,0,8.76,1.208,1.573,,
"2022-01-09 23:59:59",1262325,-7.28,-8.80,-5.14,-1.78,-6.49,4.37,90,37,1.6,5.9,225,0,0,11.53,1.175,1.397,,
"2022-01-10 23:59:59",1262325,-9.04,-12.74,-6.09,-4.43,-10.52,3.41,89,42,1.1,2.5,227,0,0,11.42,0.918,1.037,,
"2022-01-11 23:59:59",1262325,-7.47,-12.47,-4.31,-2.89,-9.35,5.47,92,41,1.1,2.8,214,0,0,11.46,0.960,1.092,,
"2022-01-12 23:59:59",1262325,-6.78,-10.17,-3.44,-1.45,-8.07,7.73,91,37,1.3,3.9,214,0,0,11.45,1.098,1.263,,
"2022-01-13 23:59:59",1262325,-5.60,-8.77,-2.31,0.65,-6.74,8.64,92,32,1.2,5.6,219,0,0,9.26,1.045,1.250,,
"2022-01-14 23:59:59",1262325,-4.94,-6.72,-3.54,2.07,-2.34,7.04,77,45,3.9,10.7,181,0,0,11.84,1.746,2.438,,
"2022-01-15 23:59:59",1262325,-7.33,-11.18,-5.49,-2.62,-8.87,5.56,92,39,1.1,3.0,214,0,0,11.08,0.969,1.087,,
"2022-01-16 23:59:59",1262325,-8.30,-12.42,-5.76,-3.63,-10.20,5.35,91,37,1.0,2.4,219,0,0,11.68,0.991,1.111,,
"2022-01-17 23:59:59",1262325,-8.31,-13.36,-5.02,-4.32,-10.33,1.40,90,52,1.0,2.7,225,0,0,6.02,0.435,0.496,,
"2022-01-18 23:59:59",1262325,-7.51,-9.37,-5.18,-0.57,-6.86,8.16,90,29,1.2,4.9,202,0,0,10.12,1.191,1.463,,
"2022-01-19 23:59:59",1262325,-6.54,-9.75,-4.16,-0.80,-7.34,7.16,90,40,1.7,6.1,197,0,0,11.78,1.314,1.577,,
"2022-01-20 23:59:59",1262325,-7.25,-9.91,-5.45,-1.20,-6.03,5.85,87,37,1.2,3.1,207,0,0,12.29,1.229,1.433,,
"2022-01-21 23:59:59",1262325,-5.29,-8.55,-0.63,-0.85,-4.27,2.58,95,57,3.8,12.9,204,2,11,8.04,0.873,1.169,,
"2022-01-22 23:59:59",1262325,-7.99,-10.11,-6.04,-2.12,-5.25,2.04,83,48,3.1,8.4,186,0,0,12.68,1.282,1.704,,
"2022-01-23 23:59:59",1262325,-8.21,-12.63,-5.53,-3.59,-9.56,4.47,89,47,1.0,2.9,214,0,0,12.73,1.066,1.192,,
"2022-01-24 23:59:59",1262325,-7.31,-12.04,-4.63,-2.49,-9.96,7.37,91,37,1.0,3.9,215,0,0,13.01,1.190,1.332,,
"2022-01-25 23:59:59",1262325,-7.88,-9.97,-4.96,-2.14,-6.23,0.90,84,52,3.6,11.7,188,0,0,7.41,0.972,1.416,,
"2022-01-26 23:59:59",1262325,-10.60,-14.33,-8.59,-4.59,-11.77,3.42,90,32,1.3,3.4,214,0,0,13.38,1.227,1.425,,
"2022-01-27 23:59:59",1262325,-12.44,-15.23,-9.63,-4.19,-11.39,3.85,88,24,2.9,10.4,239,0,0,13.57,1.648,2.273,,
"2022-01-28 23:59:59",1262325,-13.66,-16.81,-10.82,-4.59,-13.07,4.83,83,22,1.3,5.8,211,0,0,13.75,1.316,1.526,,
"2022-01-29 23:59:59",1262325,-13.31,-16.06,-9.88,-4.61,-12.89,6.41,83,24,1.3,4.7,221,0,0,13.74,1.361,1.579,,
"2022-01-30 23:59:59",1262325,-12.75,-16.16,-11.08,-4.10,-12.50,7.02,84,24,1.2,3.2,218,0,0,14.11,1.379,1.586,,
"2022-01-31 23:59:59",1262325,-12.35,-15.88,-7.76,-0.85,-10.74,12.68,79,12,2.8,9.9,234,0,0,11.94,2.068,2.774,,
"2022-02-01 23:59:59",1262325,-13.90,-16.51,-11.25,-3.47,-7.85,0.32,59,32,3.4,8.6,207,0,0,10.78,1.361,1.867,,
"2022-02-02 23:59:59",1262325,-15.51,-18.55,-10.61,-5.72,-8.71,-1.95,81,27,4.9,13.6,224,0,4,13.52,1.448,2.074,,
"2022-02-03 23:59:59",1262325,-14.89,-19.76,-11.12,-6.63,-12.41,0.55,74,37,2.0,9.4,175,0,0,12.84,1.247,1.611,,
"2022-02-04 23:59:59",1262325,-11.97,-15.68,-9.57,-4.29,-11.76,4.27,87,29,1.4,4.5,199,0,0,14.65,1.459,1.725,,
"2022-02-05 23:59:59",1262325,-13.35,-16.79,-11.28,-3.74,-13.62,8.41,82,21,1.5,3.8,229,0,0,14.58,1.603,1.896,,
"2022-02-06 23:59:59",1262325,-11.68,-15.12,-8.02,-1.04,-9.21,6.93,69,25,2.7,8.7,180,0,0,14.90,2.076,2.826,,
"2022-02-07 23:59:59",1262325,-12.69,-15.03,-10.15,-1.89,-10.35,9.94,78,20,1.3,3.4,230,0,0,15.17,1.728,2.029,,
"2022-02-08 23:59:59",1262325,-12.17,-15.11,-9.80,-0.46,-10.06,12.09,71,18,1.5,5.4,209,0,0,15.17,2.023,2.501,,
"2022-02-09 23:59:59",1262325,-9.39,-14.24,-3.01,1.32,-8.88,11.56,71,24,2.4,9.0,194,0,1,15.06,2.257,2.803,,
"2022-02-10 23:59:59",1262325,-3.80,-6.48,-1.86,3.71,-2.55,12.58,87,34,1.3,4.2,203,0,5,15.07,1.924,2.237,,
"2022-02-11 23:59:59",1262325,-6.92,-11.03,-3.08,2.54,-8.01,14.95,91,18,2.0,7.8,205,0,0,15.66,2.416,3.083,,
"2022-02-12 23:59:59",1262325,-10.19,-22.03,-6.78,2.91,-6.37,13.19,80,7,1.5,7.0,234,0,0,15.87,2.101,2.502,,
"2022-02-13 23:59:59",1262325,-11.40,-12.78,-9.36,1.93,-7.82,15.76,77,13,1.4,3.7,239,0,0,16.10,2.098,2.472,,
"2022-02-14 23:59:59",1262325,-11.97,-16.80,-8.89,4.24,-6.29,17.44,70,12,2.5,8.9,209,0,0,14.58,2.850,3.769,,
"2022-02-15 23:59:59",1262325,-9.11,-14.79,-3.06,6.62,0.33,12.27,76,19,3.8,11.0,210,0,0,10.18,2.729,3.879,,
"2022-02-16 23:59:59",1262325,-6.10,-8.65,-3.50,0.94,-1.01,3.39,79,42,3.4,9.6,142,0,0,9.11,1.416,1.936,,
"2022-02-17 23:59:59",1262325,-10.48,-12.92,-7.40,0.07,-4.86,6.11,70,25,2.2,7.9,190,0,0,16.88,2.075,2.551,,
"2022-02-18 23:59:59",1262325,-10.36,-13.50,-7.40,-0.52,-8.86,9.88,75,27,1.5,4.0,202,0,0,16.90,2.107,2.497,,
"2022-02-19 23:59:59",1262325,-10.52,-13.96,-7.85,1.04,-9.10,14.34,84,18,1.5,3.9,239,0,0,17.31,2.239,2.633,,
"2022-02-20 23:59:59",1262325,-11.82,-14.43,-10.08,4.18,-5.85,13.91,61,14,3.5,10.5,221,0,0,12.67,2.873,3.974,,
