"Station Name: Delta - Municipal Airport"
"Station ID: 1262326"
"Link To Variable Descriptions: https://climate.usu.edu/mchd/dashboard/overview/UCRN.php"

"META DATA"
Name,Description,Units,Frequency
airt,"average air temperature from PRTs in Met One shield",celsius,dly
airt_max,"maximum 5 minute air temperature from prts in Met One shield",celsius,dly
airt_min,"minimum 5 minute air temperature from prts in Met One shield",celsius,dly
eto,"daily short reference ET from Etsz function",millimeters,dly
etr,"daily tall reference ET from Etsz function",millimeters,dly
precip,"daily precipitation",millimeters,dly
rh_max,"maximum relative humidity from rh sensor in Met One shield",percent,dly
rh_min,"mininum relative humidity from rh sensor in Met One shield",percent,dly
sealevel_pressure,"sea level corrected pressure",Kilopascal,dly
site_pressure,pressure,Kilopascal,dly
solar,"total incoming (short wave) radiation from pyronometer","watts per meter squared",dly
td,"average dew point temperature from rh sensor in Met One shield",celsius,dly
td_max,"maximum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
td_min,"minimum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
timestamp,"date and time",,dly
wetness,"percent of the day that wetness sensor detected precipitation",percent,dly
windd,"average wind direction",degrees,dly
winds,"average wind speed","meters per second",dly
winds_max,"maximum wind gust","meters per second",dly

date_time,station_id,td,td_min,td_max,airt,airt_min,airt_max,rh_max,rh_min,winds,winds_max,windd,precip,wetness,solar,eto,etr,site_pressure,sealevel_pressure
"2022-01-01 23:59:59",1262326,-14.95,-19.01,-11.11,-10.76,-15.63,-6.80,85,49,1.7,5.4,204,0,0,10.80,0.683,0.802,,
"2022-01-02 23:59:59",1262326,-15.01,-19.04,-11.02,-11.23,-15.36,-5.26,84,53,1.6,4.3,87,0,0,10.76,0.647,0.750,,
"2022-01-03 23:59:59",1262326,-10.35,-15.22,-5.33,-3.96,-12.76,3.17,86,40,2.5,9.4,122,0,0,8.97,0.985,1.207,,
"2022-01-04 23:59:59",1262326,-5.69,-8.67,-2.84,1.82,-0.19,4.61,83,45,3.6,10.7,169,0,0,5.62,1.172,1.656,,
"2022-01-05 23:59:59",1262326,-2.05,-5.60,1.28,4.08,0.06,8.71,78,54,3.6,9.4,174,0,0,7.37,1.319,1.873,,
"2022-01-06 23:59:59",1262326,0.37,-1.45,3.03,5.20,1.26,11.36,85,53,2.6,7.3,168,0,0,9.80,1.295,1.735,,
"2022-01-07 23:59:59",1262326,-0.15,-3.30,2.42,6.60,-1.39,12.81,89,44,4.8,13.2,169,0,0,9.84,2.002,2.886,,
"2022-01-08 23:59:59",1262326,-2.09,-5.34,2.65,1.98,-2.49,5.85,97,44,2.4,8.0,172,1,10,10.09,1.115,1.424,,
"2022-01-09 23:59:59",1262326,-6.22,-9.38,-4.26,-1.92,-7.22,4.15,91,44,1.7,4.6,72,0,0,11.11,1.029,1.245,,
"2022-01-10 23:59:59",1262326,-6.76,-10.16,-3.38,-3.10,-7.73,3.78,90,47,0.9,3.8,134,0,0,11.12,0.918,1.017,,
"2022-01-11 23:59:59",1262326,-5.90,-10.21,-2.96,-2.83,-8.15,3.71,92,51,0.9,3.4,137,0,0,10.85,0.839,0.926,,
"2022-01-12 23:59:59",1262326,-5.48,-8.33,-3.04,-1.22,-5.80,5.74,92,47,1.2,3.9,99,0,0,9.56,0.879,1.036,,
"2022-01-13 23:59:59",1262326,-3.75,-7.51,-0.57,0.21,-5.01,6.88,90,49,1.4,4.3,140,0,0,8.58,0.819,0.989,,
"2022-01-14 23:59:59",1262326,-3.09,-6.11,-0.87,0.26,-4.51,5.73,94,58,2.0,6.2,240,0,0,10.18,1.031,1.264,,
"2022-01-15 23:59:59",1262326,-4.82,-9.26,-1.57,-1.80,-6.92,4.71,94,55,0.9,3.3,112,0,0,11.40,0.947,1.037,,
"2022-01-16 23:59:59",1262326,-5.78,-10.94,-1.84,-3.06,-8.21,4.90,96,57,1.0,2.9,138,0,0,11.26,0.946,1.035,,
"2022-01-17 23:59:59",1262326,-5.28,-10.79,-1.47,-3.72,-8.29,1.68,96,74,0.8,3.4,153,0,1,9.61,0.610,0.627,,
"2022-01-18 23:59:59",1262326,-3.94,-6.56,-1.57,-1.20,-4.74,5.15,95,54,0.8,2.5,149,0,0,8.54,0.751,0.834,,
"2022-01-19 23:59:59",1262326,-4.91,-8.92,-1.99,-1.30,-7.02,5.76,92,50,1.5,6.9,189,0,0,10.90,1.105,1.332,,
"2022-01-20 23:59:59",1262326,-5.63,-9.59,-3.59,-1.82,-7.27,3.85,94,50,1.0,3.7,147,0,0,11.72,1.023,1.170,,
"2022-01-21 23:59:59",1262326,-3.24,-5.46,-1.09,0.57,-2.97,4.88,90,58,3.0,9.7,202,0,1,8.74,1.007,1.371,,
"2022-01-22 23:59:59",1262326,-5.95,-10.03,-3.77,-2.44,-8.22,3.74,92,53,2.5,6.7,230,0,0,12.13,1.117,1.411,,
"2022-01-23 23:59:59",1262326,-6.79,-10.71,-4.07,-3.27,-8.66,3.61,94,53,0.9,3.6,177,0,0,12.01,0.994,1.111,,
"2022-01-24 23:59:59",1262326,-6.25,-9.70,-3.57,-2.19,-7.95,6.37,92,47,1.2,3.6,104,0,0,11.86,1.112,1.268,,
"2022-01-25 23:59:59",1262326,-4.79,-7.92,-2.60,-1.79,-6.10,0.75,91,66,2.6,8.4,233,0,0,6.64,0.613,0.806,,
"2022-01-26 23:59:59",1262326,-8.71,-12.31,-4.48,-4.22,-10.57,3.02,93,38,0.8,3.3,161,0,0,12.71,1.091,1.221,,
"2022-01-27 23:59:59",1262326,-8.91,-12.57,-6.06,-4.18,-10.45,3.04,91,45,2.2,7.1,158,0,0,12.96,1.262,1.619,,
"2022-01-28 23:59:59",1262326,-10.53,-15.47,-7.19,-4.41,-12.60,3.98,91,31,1.1,3.7,161,0,0,13.27,1.225,1.414,,
"2022-01-29 23:59:59",1262326,-10.52,-14.97,-7.74,-3.78,-11.73,5.41,89,29,0.9,3.9,142,0,0,13.46,1.315,1.521,,
"2022-01-30 23:59:59",1262326,-9.64,-13.95,-7.21,-3.97,-10.62,5.18,89,37,0.9,3.7,167,0,0,13.60,1.263,1.450,,
"2022-01-31 23:59:59",1262326,-9.36,-12.06,-6.55,-0.71,-9.52,9.97,88,23,2.3,7.7,149,0,0,13.26,1.876,2.369,,
"2022-02-01 23:59:59",1262326,-12.69,-14.30,-10.87,-4.05,-9.50,0.45,72,32,2.6,7.1,223,0,0,11.70,1.284,1.691,,
"2022-02-02 23:59:59",1262326,-14.02,-20.49,-11.10,-6.20,-10.69,-1.34,79,23,3.4,10.9,235,0,1,10.61,1.138,1.630,,
"2022-02-03 23:59:59",1262326,-13.57,-17.65,-9.66,-6.99,-13.57,-1.05,81,43,1.4,5.9,168,0,0,13.57,1.123,1.370,,
"2022-02-04 23:59:59",1262326,-12.34,-15.95,-10.06,-5.51,-13.28,2.70,85,36,1.2,4.6,139,0,0,14.31,1.340,1.593,,
"2022-02-05 23:59:59",1262326,-11.15,-14.64,-8.92,-2.95,-10.96,6.80,83,29,1.1,3.8,143,0,0,14.46,1.519,1.812,,
"2022-02-06 23:59:59",1262326,-9.62,-13.99,-6.50,-2.17,-10.96,6.86,85,35,1.9,6.5,169,0,0,14.50,1.753,2.243,,
"2022-02-07 23:59:59",1262326,-9.96,-12.86,-7.61,-1.43,-9.71,8.31,87,28,1.1,3.5,118,0,0,14.82,1.652,1.950,,
"2022-02-08 23:59:59",1262326,-9.82,-13.05,-6.83,-0.40,-9.46,10.49,85,23,1.3,5.7,185,0,0,14.88,1.930,2.406,,
"2022-02-09 23:59:59",1262326,-7.34,-11.21,-4.21,0.75,-6.35,10.07,81,32,1.7,6.6,187,0,0,12.57,1.749,2.223,,
"2022-02-10 23:59:59",1262326,-4.33,-9.02,-0.28,1.61,-6.36,10.31,88,46,1.3,6.0,187,0,0,14.64,1.747,2.073,,
"2022-02-11 23:59:59",1262326,-5.37,-7.89,-0.35,2.76,-6.09,13.60,93,23,1.9,8.6,146,0,0,15.39,2.373,3.034,,
"2022-02-12 23:59:59",1262326,-8.92,-13.67,-5.37,0.88,-7.23,10.94,90,19,1.2,5.4,155,0,0,15.82,1.989,2.393,,
"2022-02-13 23:59:59",1262326,-10.32,-12.36,-7.79,2.12,-7.17,13.47,80,15,0.9,3.4,129,0,0,15.97,2.090,2.489,,
"2022-02-14 23:59:59",1262326,-9.53,-13.19,-6.73,5.28,-5.71,15.75,78,17,2.4,8.8,137,0,0,13.53,2.613,3.418,,
"2022-02-15 23:59:59",1262326,-7.94,-12.91,-0.71,5.43,0.32,10.78,80,22,3.0,9.9,247,0,1,10.39,2.244,3.122,,
"2022-02-16 23:59:59",1262326,-5.38,-8.16,-3.17,-0.54,-4.33,1.61,85,51,3.3,10.7,262,0,1,8.80,1.082,1.501,,
