"Station Name: Cedar City - Zion NP, Kolob Canyon"
"Station ID: 1262327"
"Link To Variable Descriptions: https://climate.usu.edu/mchd/dashboard/overview/UCRN.php"

"META DATA"
Name,Description,Units,Frequency
airt,"average air temperature from PRTs in Met One shield",celsius,dly
airt_max,"maximum 5 minute air temperature from prts in Met One shield",celsius,dly
airt_min,"minimum 5 minute air temperature from prts in Met One shield",celsius,dly
eto,"daily short reference ET from Etsz function",millimeters,dly
etr,"daily tall reference ET from Etsz function",millimeters,dly
precip,"daily precipitation",millimeters,dly
rh_max,"maximum relative humidity from rh sensor in Met One shield",percent,dly
rh_min,"mininum relative humidity from rh sensor in Met One shield",percent,dly
sealevel_pressure,"sea level corrected pressure",Kilopascal,dly
site_pressure,pressure,Kilopascal,dly
solar,"total incoming (short wave) radiation from pyronometer","watts per meter squared",dly
td,"average dew point temperature from rh sensor in Met One shield",celsius,dly
td_max,"maximum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
td_min,"minimum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
timestamp,"date and time",,dly
wetness,"percent of the day that wetness sensor detected precipitation",percent,dly
windd,"average wind direction",degrees,dly
winds,"average wind speed","meters per second",dly
winds_max,"maximum wind gust","meters per second",dly

date_time,station_id,td,td_min,td_max,airt,airt_min,airt_max,rh_max,rh_min,winds,winds_max,windd,precip,wetness,solar,eto,etr,site_pressure,sealevel_pressure
"2022-01-01 23:59:59",1262327,-13.57,-19.60,-7.32,-7.11,-10.89,-4.80,85,39,3.4,10.1,113,0,9,11.51,0.949,1.241,,
"2022-01-02 23:59:59",1262327,-13.78,-19.32,-8.56,-5.13,-13.35,3.52,86,22,1.1,6.2,164,0,0,11.07,1.014,1.236,,
"2022-01-03 23:59:59",1262327,-10.90,-13.85,-7.76,1.29,-2.25,4.91,59,30,1.9,6.9,185,0,0,10.45,1.440,1.963,,
"2022-01-04 23:59:59",1262327,-8.44,-12.46,-5.39,0.99,-2.59,5.40,77,28,0.8,5.0,151,0,0,7.14,0.838,1.054,,
"2022-01-05 23:59:59",1262327,-5.33,-7.83,-1.70,1.54,-3.44,8.02,82,39,0.8,4.4,149,0,0,9.32,1.036,1.233,,
"2022-01-06 23:59:59",1262327,-1.43,-3.54,0.77,4.00,-0.91,11.16,89,47,0.8,4.5,142,0,0,10.83,1.190,1.384,,
"2022-01-07 23:59:59",1262327,-1.63,-2.39,-0.47,6.78,0.17,12.17,89,39,1.6,8.0,151,0,0,10.80,1.661,2.167,,
"2022-01-08 23:59:59",1262327,-2.51,-6.06,-0.07,4.49,1.32,8.24,80,43,2.0,8.0,112,0,1,10.94,1.416,1.820,,
"2022-01-09 23:59:59",1262327,-7.02,-9.17,-5.89,1.39,-2.69,5.56,74,39,2.7,8.2,97,0,0,11.44,1.511,2.025,,
"2022-01-10 23:59:59",1262327,-7.92,-10.26,-5.76,-0.72,-7.19,10.08,88,23,0.6,3.7,141,0,0,11.58,1.133,1.304,,
"2022-01-11 23:59:59",1262327,-6.72,-8.77,-4.40,1.81,-3.20,7.03,76,34,2.7,8.6,101,0,0,11.54,1.609,2.157,,
