"Station Name: Midway - UVU Wasatch Campus"
"Station ID: 1262328"
"Link To Variable Descriptions: https://climate.usu.edu/mchd/dashboard/overview/UCRN.php"

"META DATA"
Name,Description,Units,Frequency
airt,"average air temperature from PRTs in Met One shield",celsius,dly
airt_max,"maximum 5 minute air temperature from prts in Met One shield",celsius,dly
airt_min,"minimum 5 minute air temperature from prts in Met One shield",celsius,dly
eto,"daily short reference ET from Etsz function",millimeters,dly
etr,"daily tall reference ET from Etsz function",millimeters,dly
precip,"daily precipitation",millimeters,dly
rh_max,"maximum relative humidity from rh sensor in Met One shield",percent,dly
rh_min,"mininum relative humidity from rh sensor in Met One shield",percent,dly
sealevel_pressure,"sea level corrected pressure",Kilopascal,dly
site_pressure,pressure,Kilopascal,dly
solar,"total incoming (short wave) radiation from pyronometer","watts per meter squared",dly
td,"average dew point temperature from rh sensor in Met One shield",celsius,dly
td_max,"maximum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
td_min,"minimum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
timestamp,"date and time",,dly
wetness,"percent of the day that wetness sensor detected precipitation",percent,dly
windd,"average wind direction",degrees,dly
winds,"average wind speed","meters per second",dly
winds_max,"maximum wind gust","meters per second",dly

date_time,station_id,td,td_min,td_max,airt,airt_min,airt_max,rh_max,rh_min,winds,winds_max,windd,precip,wetness,solar,eto,etr,site_pressure,sealevel_pressure
"2022-01-01 23:59:59",1262328,-17.06,-21.43,-14.43,-12.81,-17.40,-9.06,88,54,1.4,6.7,135,0,0,9.94,0.518,0.588,,
"2022-01-02 23:59:59",1262328,-19.00,-23.64,-15.85,-15.69,-20.79,-10.39,86,61,0.5,1.6,121,0,0,9.88,0.332,0.348,,
"2022-01-03 23:59:59",1262328,-13.60,-18.63,-8.99,-7.94,-15.84,2.49,87,33,0.8,6.7,131,0,2,8.03,0.533,0.619,,
"2022-01-04 23:59:59",1262328,-7.07,-12.32,-2.01,1.45,-1.43,3.59,90,31,1.7,6.9,172,0,10,5.09,0.895,1.236,,
"2022-01-05 23:59:59",1262328,-0.94,-5.63,1.43,1.11,-1.90,2.62,98,53,1.8,6.9,126,11,75,2.70,0.376,0.459,,
"2022-01-06 23:59:59",1262328,1.00,-2.24,3.10,3.03,0.58,5.22,97,74,0.9,3.3,141,1,55,6.12,0.645,0.724,,
"2022-01-07 23:59:59",1262328,-2.46,-5.09,-1.02,3.96,-1.65,9.43,94,40,1.7,8.0,128,0,7,8.69,1.265,1.719,,
"2022-01-08 23:59:59",1262328,-5.46,-10.12,-0.74,-0.19,-6.88,3.80,95,47,2.4,9.9,116,1,17,9.83,1.021,1.338,,
"2022-01-09 23:59:59",1262328,-11.52,-14.77,-8.95,-7.35,-11.86,-1.73,89,54,0.8,2.4,115,0,0,10.37,0.600,0.674,,
"2022-01-10 23:59:59",1262328,-11.92,-15.74,-9.32,-6.76,-12.23,0.11,83,45,0.7,1.8,120,0,1,10.44,0.646,0.722,,
"2022-01-11 23:59:59",1262328,-11.28,-14.10,-9.38,-5.51,-10.81,0.66,84,43,0.8,2.5,116,0,0,10.04,0.675,0.777,,
"2022-01-12 23:59:59",1262328,-9.55,-12.13,-6.82,-3.86,-8.47,2.30,80,40,0.7,2.2,123,0,3,9.19,0.656,0.741,,
"2022-01-13 23:59:59",1262328,-6.98,-10.48,-4.05,-2.16,-7.95,2.14,91,45,0.8,3.0,134,0,2,7.93,0.671,0.765,,
"2022-01-14 23:59:59",1262328,-5.27,-7.63,-4.00,1.19,-4.58,4.27,86,49,2.3,7.2,111,0,4,9.73,1.216,1.606,,
