"Station Name: Vernal - Ouray"
"Station ID: 1262329"
"Link To Variable Descriptions: https://climate.usu.edu/mchd/dashboard/overview/UCRN.php"

"META DATA"
Name,Description,Units,Frequency
airt,"average air temperature from PRTs in Met One shield",celsius,dly
airt_max,"maximum 5 minute air temperature from prts in Met One shield",celsius,dly
airt_min,"minimum 5 minute air temperature from prts in Met One shield",celsius,dly
eto,"daily short reference ET from Etsz function",millimeters,dly
etr,"daily tall reference ET from Etsz function",millimeters,dly
precip,"daily precipitation",millimeters,dly
rh_max,"maximum relative humidity from rh sensor in Met One shield",percent,dly
rh_min,"mininum relative humidity from rh sensor in Met One shield",percent,dly
sealevel_pressure,"sea level corrected pressure",Kilopascal,dly
site_pressure,pressure,Kilopascal,dly
solar,"total incoming (short wave) radiation from pyronometer","watts per meter squared",dly
td,"average dew point temperature from rh sensor in Met One shield",celsius,dly
td_max,"maximum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
td_min,"minimum 5 minute dew point temperature from rh sensor in Met One shield",celsius,dly
timestamp,"date and time",,dly
wetness,"percent of the day that wetness sensor detected precipitation",percent,dly
windd,"average wind direction",degrees,dly
winds,"average wind speed","meters per second",dly
winds_max,"maximum wind gust","meters per second",dly

date_time,station_id,td,td_min,td_max,airt,airt_min,airt_max,rh_max,rh_min,winds,winds_max,windd,precip,wetness,solar,eto,etr,site_pressure,sealevel_pressure
"2022-01-01 23:59:59",1262329,-12.51,-16.54,-5.98,-7.28,-13.00,-3.18,93,44,1.5,4.5,166,0,2,8.62,0.659,0.834,,
"2022-01-02 23:59:59",1262329,-16.35,-19.50,-13.70,-11.75,-16.18,-6.45,85,50,0.8,3.6,100,0,0,9.06,0.447,0.526,,
"2022-01-03 23:59:59",1262329,-15.59,-19.28,-12.52,-11.84,-16.81,-6.47,89,56,0.6,2.6,89,0,0,7.75,0.362,0.396,,
"2022-01-04 23:59:59",1262329,-12.58,-16.81,-9.50,-8.50,-14.44,-1.23,90,49,0.8,3.9,171,0,0,8.89,0.550,0.645,,
"2022-01-05 23:59:59",1262329,-5.09,-12.61,0.55,0.09,-9.83,9.38,92,44,1.8,10.2,211,0,0,9.43,0.984,1.221,,
"2022-01-06 23:59:59",1262329,-1.58,-7.12,1.03,3.72,-4.58,13.29,99,40,1.6,8.4,188,0,0,7.81,1.113,1.517,,
"2022-01-07 23:59:59",1262329,-2.61,-8.01,0.25,0.82,-6.11,10.76,100,47,0.8,4.7,185,0,0,8.31,0.777,0.887,,
"2022-01-08 23:59:59",1262329,-4.47,-7.99,-1.58,2.66,-3.11,8.75,93,31,1.6,6.9,175,0,0,8.25,1.154,1.525,,
"2022-01-09 23:59:59",1262329,-8.33,-12.84,-6.29,-3.72,-9.18,2.99,93,46,1.0,3.9,173,0,0,9.40,0.723,0.842,,
"2022-01-10 23:59:59",1262329,-9.56,-14.24,-6.61,-5.76,-12.02,2.35,95,49,0.5,2.9,149,0,0,9.55,0.654,0.715,,
