"Category","Dew Point Avg","Dew Point Max","Dew Point Min","Air Temp Avg","Air Temp Max","Air Temp Min"
"2025-01-01 23:59:59",-9.8,-7.99,-11.37,-0.04,6.81,-6.45
"2025-01-02 23:59:59",-7.69,-4.84,-9.23,4.71,14.04,-1.42
"2025-01-03 23:59:59",-5.93,-4.23,-9.29,9.02,14.49,2.43
"2025-01-04 23:59:59",-9.79,-7.22,-12,6.33,10.86,1.57
"2025-01-05 23:59:59",-8.64,-7.32,-9.48,2.57,8.39,-2.77
"2025-01-06 23:59:59",-6.44,-4.45,-9.09,2.51,8.86,-3.31
"2025-01-07 23:59:59",-4.33,-2.39,-8.09,0.56,1.73,-1.84
"2025-01-08 23:59:59",-10.3,-8.13,-12.53,-1.15,4.26,-4.53
"2025-01-09 23:59:59",-9.41,-6.63,-12.75,-0.57,3.04,-2.59
"2025-01-10 23:59:59",-10.87,-8.15,-16.71,-0.29,7.94,-4.9
"2025-01-11 23:59:59",-9.78,-3.39,-12.81,0.07,4.6,-4.29
"2025-01-12 23:59:59",-8.45,-5.21,-10.08,-1.79,2.23,-4.23
"2025-01-13 23:59:59",-9.92,-8.51,-11.73,-2.94,2.02,-7.04
"2025-01-14 23:59:59",-10.54,-9.34,-12.72,-1.63,4.13,-6.36
"2025-01-15 23:59:59",-9.78,-7.85,-12.53,-0.8,6.17,-7.07
"2025-01-16 23:59:59",-13.24,-9.71,-15.93,-0.24,11.16,-8.41
"2025-01-17 23:59:59",-14.51,-12.05,-16.08,-0.28,8.15,-6.28
"2025-01-18 23:59:59",-14.25,-8.03,-19.49,-1.83,1.87,-4.86
"2025-01-19 23:59:59",-19.35,-16.95,-20.86,-3.37,5.18,-12.13
"2025-01-20 23:59:59",-17.98,-11.87,-23.35,-5.25,-1.9,-8.39
"2025-01-21 23:59:59",-24.7,-23.09,-27.57,-4.42,4.55,-11.73
"2025-01-22 23:59:59",-21.03,-16.25,-25.21,0.28,7,-7.34
"2025-01-23 23:59:59",-18.44,-15.57,-20.86,-1.59,4.82,-6.18
"2025-01-24 23:59:59",-21.7,-19.42,-24.69,-0.45,9.13,-7.15
"2025-01-25 23:59:59",-19.94,-8.46,-24.42,1.03,6.93,-2.89
"2025-01-26 23:59:59",-8.3,-7.49,-9.44,-1.95,3.32,-5.02
"2025-01-27 23:59:59",-8.99,-6.86,-11.34,-2.14,2.13,-5.09
"2025-01-28 23:59:59",-10.22,-6.56,-12.77,-1.48,3.03,-4.66
"2025-01-29 23:59:59",-12.04,-10.1,-13.28,0.3,6.98,-5.61
"2025-01-30 23:59:59",-12.9,-10.2,-15.51,2.48,10.81,-4.17
"2025-02-01 23:59:59",-10.58,-4.55,-13.19,7.01,13.15,0.62
"2025-02-02 23:59:59",-0.54,2.61,-7.58,11.33,15.96,7.05
"2025-02-03 23:59:59",-1.09,0.86,-3.75,13.94,18.52,10.95
"2025-02-04 23:59:59",-1.91,0,-3.87,14.48,18.84,11.65
"2025-02-05 23:59:59",-0.51,1.57,-2.75,11.25,15.56,7.92
"2025-02-06 23:59:59",-1.46,1.6,-5.39,11.1,15.3,7.85
"2025-02-07 23:59:59",0.9,2.63,-1.61,10.63,14.54,7.52
"2025-02-08 23:59:59",-5.12,-1.75,-15.45,4.47,11.73,-0.09
"2025-02-09 23:59:59",-9.18,-6.55,-11.79,1.59,8.98,-4.41
"2025-02-10 23:59:59",-11.65,-8.93,-15.29,2.23,11.42,-4.66
"2025-02-11 23:59:59",-11.67,-7.41,-15.27,-0.86,6.84,-5.12
"2025-02-12 23:59:59",-15.32,-11.43,-20.45,-3.42,4.15,-8.66
"2025-02-13 23:59:59",-6.88,1.58,-20.22,-1.02,2.82,-8.07
"2025-02-14 23:59:59",1.48,3.19,-1.08,2.45,3.73,-0.47
"2025-02-15 23:59:59",-3.34,0.16,-7.76,3.26,8.94,-0.52
"2025-02-16 23:59:59",-3.73,-0.44,-6.56,3.36,12.18,-2.82
"2025-02-17 23:59:59",-2.16,-0.48,-3.64,5.64,11.87,0.08
"2025-02-18 23:59:59",-6.04,-0.69,-7.96,5.38,9.88,1.31
"2025-02-19 23:59:59",-6.67,-4.78,-9.07,3.99,11.03,-1.34
"2025-02-20 23:59:59",-4.48,-0.92,-7.76,5.23,9.42,0.52
"2025-02-21 23:59:59",-4.17,-3.53,-5.07,3.3,9.47,-0.32
"2025-02-22 23:59:59",-5.95,-3.51,-10.77,4.9,14.3,-2.28
"2025-02-23 23:59:59",-6.9,-4.36,-10.99,7.44,16.34,-2.18
"2025-02-24 23:59:59",-4,-1.95,-6.04,10.05,20.05,1.26
"2025-02-25 23:59:59",-7.03,0.23,-14.47,12.41,20.87,5.13
"2025-02-26 23:59:59",-9.19,-5.6,-12.65,6.24,12.37,1.15
"2025-02-27 23:59:59",-9.62,-8.13,-10.95,6.08,14.88,-2.47
