station_name,station_id,latitude,longitude
Beaver,1262317,38.28609,-112.36122
Blanding,1262324,37.2667,-109.6074
Bluff,1262319,37.601,-109.9886
Cedar City,1262327,37.4572,-113.2248
Delta,1262326,39.3872,-112.5095
Grantsville,1262316,40.636,-112.677
Manila,1262315,40.92251,-109.38976
Mexican Hat,1262320,37.2507,-109.9877
Midway,1262328,40.5467,-111.4137
Milford,1262325,38.5943,-113.7511
Monticello,1262321,38.1402,-109.6165
Price,1262322,39.60708,-110.75078
Provo,1262318,40.2816,-111.2398
Spanish Valley,1262323,38.3135,-109.8545
Tropic,1262314,37.5174,-111.9775
Vernal,1262329,40.13462,-109.64285
